region,province,city,position,district,candidate_name,party,votes,rank,raw_position
BARMM,TAWI-TAWI,PANGLIMA SUGALA,MAYOR,,"SAHALI, NURBERT",PDPLBN,18512,1,MAYOR TAWI-TAWI - PANGLIMA SUGALA
BARMM,TAWI-TAWI,SAPA-SAPA,MAYOR,,"DATU DAKULA, SHARAIL",PDPLBN,118,1,MAYOR TAWI-TAWI - SAPA-SAPA
BARMM,TAWI-TAWI,SIBUTU,MAYOR,,"ABDULWAHID, DELWIS",PDPLBN,70,1,MAYOR TAWI-TAWI - SIBUTU
BARMM,TAWI-TAWI,SIMUNUL,MAYOR,,"ABDURAHMAN, WASILAH",TOP,7044,1,MAYOR TAWI-TAWI - SIMUNUL
BARMM,TAWI-TAWI,SITANGKAI,MAYOR,,"AHAJA, TIBLAN",TOP,15417,1,MAYOR TAWI-TAWI - SITANGKAI
BARMM,TAWI-TAWI,SOUTH UBIAN,MAYOR,,"KOH, TIONGGUAN",PDPLBN,1346,1,MAYOR TAWI-TAWI - SOUTH UBIAN
BARMM,TAWI-TAWI,TANDUBAS,MAYOR,,"ABDULMUNAP, AL-KHALID",KBL,470,1,MAYOR TAWI-TAWI - TANDUBAS
BARMM,TAWI-TAWI,TURTLE ISLANDS,MAYOR,,"ASGALI, MERHAN",IND,3,1,MAYOR TAWI-TAWI - TURTLE ISLANDS
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,MAYOR,,"BERSAMIN, ANNE",PDR,6775,1,MAYOR ABRA - BANGUED
CORDILLERA ADMINISTRATIVE REGION,ABRA,BOLINEY,MAYOR,,"BALAO-AS, RONALD",ASENSO,2333,1,MAYOR ABRA - BOLINEY
CORDILLERA ADMINISTRATIVE REGION,ABRA,BUCAY,MAYOR,,"GO, JAY",ASENSO,9074,1,MAYOR ABRA - BUCAY
CORDILLERA ADMINISTRATIVE REGION,ABRA,BUCLOC,MAYOR,,"CARDENAS, GODY",ASENSO,1028,1,MAYOR ABRA - BUCLOC
CORDILLERA ADMINISTRATIVE REGION,ABRA,DAGUIOMAN,MAYOR,,"PADILLA, YANG YANG",ASENSO,1011,1,MAYOR ABRA - DAGUIOMAN
CORDILLERA ADMINISTRATIVE REGION,ABRA,DANGLAS,MAYOR,,"BERNOS-BRAGAS, POYEE",ASENSO,3202,1,MAYOR ABRA - DANGLAS
