province,city,position,district,candidate_name,party,votes,rank
ABRA,LANGIDEN,MAYOR,,"PALECPEC, IZEL",LAKAS,2385,285568
ABRA,LICUAN-BAAY,MAYOR,,"DOMINGO, ALEJO",LAKAS,2877,286085
ABRA,LUBA,MAYOR,,"BACULI, EMIRALD",LAKAS,3488,287109
ABRA,MALIBCONG,MAYOR,,"BACUYAG, MANDO",PFP,1739,287885
ABRA,MANABO,MAYOR,,"ANDRES, JERRY",LAKAS,5674,284774
ABRA,PEÑARRUBIA,MAYOR,,"BALBUENA, JING",PFP,3443,285038
ABRA,PIDIGAN,MAYOR,,"DONATO, BILLY",LAKAS,6984,287624
ABRA,PILAR,MAYOR,,"BEROÑA, TYRON",PFP,5677,285820
ABRA,SALLAPADAN,MAYOR,,"SEMANERO, JHUN",LAKAS,3631,289184
AGUSAN DEL NORTE,BUENAVISTA,MAYOR,,"ROBLE, JOSELITO",LAKAS,32574,246984
AGUSAN DEL NORTE,CARMEN,MAYOR,,"CALO, RAMON",LAKAS,9080,247998
AGUSAN DEL NORTE,CITY OF BUTUAN,MAYOR,,"DESIATA, REY",NP,112514,247740
AGUSAN DEL NORTE,CITY OF CABADBARAN,MAYOR,,"CORVERA, JAMJAM",LAKAS,39010,245985
AGUSAN DEL NORTE,JABONGA,MAYOR,,"MONTERO, NAP",LAKAS,8886,248752
AGUSAN DEL NORTE,KITCHARAO,MAYOR,,"MONTANTE, OLOY",LAKAS,8556,246481
AGUSAN DEL NORTE,LAS NIEVES,MAYOR,,"ROSALES, AVELINA",LAKAS,13822,246231
AGUSAN DEL NORTE,MAGALLANES,MAYOR,,"SALON, BONGSAL",LAKAS,12210,248503
AGUSAN DEL NORTE,NASIPIT,MAYOR,,"PLAZA, ROSCOE DEMOCRITO",LAKAS,16119,247239
AGUSAN DEL NORTE,REMEDIOS T. ROMUALDEZ,MAYOR,,"DAQUIPIL, RICHARD",LAKAS,6679,246729
AGUSAN DEL NORTE,SANTIAGO,MAYOR,,"LIM, FRANK",LAKAS,10835,248251
AGUSAN DEL NORTE,TUBAY,MAYOR,,"BERAY, JIMMY",LAKAS,13095,247493
AGUSAN DEL SUR,BUNAWAN,MAYOR,,"ELORDE, BABY",NUP,16367,251724
AGUSAN DEL SUR,CITY OF BAYUGAN,MAYOR,,"ASIS, KIRK",NUP,44281,249003
AGUSAN DEL SUR,ESPERANZA,MAYOR,,"MANPATILAN, DEO JR",NUP,21347,249502
AGUSAN DEL SUR,LA PAZ,MAYOR,,"LIM, MICHAEL",NUP,11811,249250
AGUSAN DEL SUR,LORETO,MAYOR,,"OTAZA, ALVIN",NUP,17893,250736
AGUSAN DEL SUR,PROSPERIDAD,MAYOR,,"MELLANA, ERIC",NUP,26983,250976
AGUSAN DEL SUR,ROSARIO,MAYOR,,"ABULOG, JUPITER",NPC,19651,249743
AGUSAN DEL SUR,SAN FRANCISCO,MAYOR,,"PAREDES-BRAVO, GRACE",NUP,30414,252209
AGUSAN DEL SUR,SAN LUIS,MAYOR,,"CORVERA, RONALDO",NUP,12105,250241
AGUSAN DEL SUR,SANTA JOSEFA,MAYOR,,"PLAZA, RICHARD",NUP,10881,251476
AGUSAN DEL SUR,SIBAGAT,MAYOR,,"LAMANILAO, THELMA",NUP,10201,250485
AGUSAN DEL SUR,TALACOGON,MAYOR,,"MASENDO, PAULINE MARIE",NUP,12797,251222
AGUSAN DEL SUR,TRENTO,MAYOR,,"CALVEZ, KIT",NUP,19640,251965
AGUSAN DEL SUR,VERUELA,MAYOR,,"MONDEJAR, LOLOY",NUP,14248,250000
AKLAN,ALTAVAS,MAYOR,,"REFOL, BULLDOG",LAKAS,7692,349723
AKLAN,BALETE,MAYOR,,"CALIZO, PRESCILLA GALE",LAKAS,13857,350498
AKLAN,BANGA,MAYOR,,"MACAHILIG, TOTO STANLEY",PFP,14278,352041
AKLAN,BATAN,MAYOR,,"RAMOS, MIKE",AKSYON,11281,351263
AKLAN,BURUANGA,MAYOR,,"DAGOHOY, NONOY ALLAN",AKSYON,6131,351004
AKLAN,IBAJAY,MAYOR,,"MIRAFLORES, MIGUEL",LAKAS,23952,353076
AKLAN,KALIBO,MAYOR,,"SUCRO, JURIS",LAKAS,31839,350240
AKLAN,LEZO,MAYOR,,"FERNANDEZ, LENETTE",LAKAS,6680,350748
AKLAN,LIBACAO,MAYOR,,"NAVAROSA, CHARITO",LAKAS,10966,352560
AKLAN,MADALAG,MAYOR,,"GUBATINA, REX",LAKAS,8334,351523
AKLAN,MAKATO,MAYOR,,"MATIONG, LANGKOY",LAKAS,10204,352819
AKLAN,MALAY,MAYOR,,"CAWALING, NIÑO",NP,24721,351779
AKLAN,MALINAO,MAYOR,,"IGOY, ARIEL",LAKAS,10676,349212
AKLAN,NABAS,MAYOR,,"SOLANOY, JAMES",AKSYON,12041,353330
AKLAN,NEW WASHINGTON,MAYOR,,"QUIMPO, MOLOT",PFP,16047,349977
AKLAN,NUMANCIA,MAYOR,,"COCHING, CIELO",AKSYON,12627,349467
AKLAN,TANGALAN,MAYOR,,"FUENTES, GARY",NUP,10459,352303
ALBAY,BACACAY,MAYOR,,"ARJONA, BOB",LP,25233,128022
ALBAY,CAMALIG,MAYOR,,"BALDO, DING",LAKAS,26936,126730
