province,city,position,district,candidate_name,party,votes,rank
ZAMBOANGA SIBUGAY,TALUSAN,MAYOR,,"RAMISO, LOLOY",NP,6928,37614
ZAMBOANGA SIBUGAY,TITAY,MAYOR,,"TALANIA, BOBONG",PFP,17593,40324
ZAMBOANGA SIBUGAY,TUNGAWAN,MAYOR,,"ANIÑON, LITO",LAKAS,12687,41368
ABRA,BANGUED,COUNCILOR,,"BACHILLER, ALLEN BRIX",LAKAS,20690,289447
ABRA,BOLINEY,COUNCILOR,,"BALAO-AS, SIRMATA",LAKAS,2485,288158
ABRA,BUCAY,COUNCILOR,,"ZALES, JR",LAKAS,11300,288679
ABRA,BUCLOC,COUNCILOR,,"BAGIOAN, MARLON",LAKAS,1146,285307
ABRA,DAGUIOMAN,COUNCILOR,,"GASCID, MARY JOY",LAKAS,1053,286860
ABRA,DANGLAS,COUNCILOR,,"CAY-AN, JOAN",NP,3283,286346
ABRA,DOLORES,COUNCILOR,,"PILORIN, FREDDIE",PFP,6297,287379
ABRA,LA PAZ,COUNCILOR,,"NONO, BATSOY",LAKAS,10829,288413
ABRA,LACUB,COUNCILOR,,"EDUARTE, JOEMAR",LAKAS,1739,289709
ABRA,LAGANGILANG,COUNCILOR,,"OMLI, RODNEY",PFP,6022,286596
ABRA,LAGAYAN,COUNCILOR,,"PARIÑAS, JUN",LAKAS,1810,288938
ABRA,LANGIDEN,COUNCILOR,,"PALECPEC, JAN-JAN",LAKAS,2187,285575
ABRA,LICUAN-BAAY,COUNCILOR,,"DAGUIO, ZALDY",LAKAS,2624,286099
ABRA,LUBA,COUNCILOR,,"MASADAO, BERNIE",IND,2968,287126
ABRA,MALIBCONG,COUNCILOR,,"ELVEÑA, EMON",PFP,1605,287899
ABRA,MANABO,COUNCILOR,,"AMMASI, TADOL",LAKAS,4846,284778
ABRA,PEÑARRUBIA,COUNCILOR,,"SAMBRANO, YAYANG",PFP,3253,285055
ABRA,PIDIGAN,COUNCILOR,,"DUMLAO, MELVIN",LAKAS,6397,287640
ABRA,PILAR,COUNCILOR,,"DUMLAO, CECIL",PFP,4335,285837
ABRA,SALLAPADAN,COUNCILOR,,"POBLETE, CYRUS",LAKAS,3126,289191
AGUSAN DEL NORTE,BUENAVISTA,COUNCILOR,,"CATABAS, RYAN",LAKAS,24467,246995
AGUSAN DEL NORTE,CARMEN,COUNCILOR,,"CALO, JT",IND,6642,248006
AGUSAN DEL NORTE,CITY OF BUTUAN,COUNCILOR,,"CARAMPATANA, GLENN",LAKAS,112841,247746
AGUSAN DEL NORTE,CITY OF CABADBARAN,COUNCILOR,,"AMANTE, DAI INEZ",LAKAS,36729,245986
AGUSAN DEL NORTE,JABONGA,COUNCILOR,,"TELLO, TABETH",LAKAS,7480,248772
AGUSAN DEL NORTE,KITCHARAO,COUNCILOR,,"ARCHINUE, INGRID",LAKAS,9645,246482
AGUSAN DEL NORTE,LAS NIEVES,COUNCILOR,,"FABRO, JACINTO",LAKAS,11661,246236
AGUSAN DEL NORTE,MAGALLANES,COUNCILOR,,"LEONAR, KEEFE BLUE",LAKAS,11495,248511
AGUSAN DEL NORTE,NASIPIT,COUNCILOR,,"DOMINGUEZ, BRYAN",IND,15503,247247
AGUSAN DEL NORTE,REMEDIOS T. ROMUALDEZ,COUNCILOR,,"AGUSIN, ROMEO",LAKAS,8198,246733
AGUSAN DEL NORTE,SANTIAGO,COUNCILOR,,"EGOS, GILMAR",LAKAS,8183,248257
AGUSAN DEL NORTE,TUBAY,COUNCILOR,,"CEPEDA, LOLOC",LAKAS,12738,247499
AGUSAN DEL SUR,BUNAWAN,COUNCILOR,,"ACASIO, EDEN",NUP,14580,251726
AGUSAN DEL SUR,CITY OF BAYUGAN,COUNCILOR,,"ASIS, BOBONG",NUP,43002,249011
AGUSAN DEL SUR,ESPERANZA,COUNCILOR,,"SIOHAN, ERIC",NUP,18161,249511
AGUSAN DEL SUR,LA PAZ,COUNCILOR,,"SERGIO, JONATHAN",NUP,11261,249269
AGUSAN DEL SUR,LORETO,COUNCILOR,,"MAGADAN, BAKS",NUP,16454,250743
AGUSAN DEL SUR,PROSPERIDAD,COUNCILOR,,"BASTARECHE, TOTO",NUP,24660,250980
AGUSAN DEL SUR,ROSARIO,COUNCILOR,,"ABULOG, MARS",NPC,17418,249748
AGUSAN DEL SUR,SAN FRANCISCO,COUNCILOR,,"RUFILA, VINZ",NUP,22262,252226
AGUSAN DEL SUR,SAN LUIS,COUNCILOR,,"CORVERA, RONALDO JR",NUP,9906,250246
AGUSAN DEL SUR,SANTA JOSEFA,COUNCILOR,,"PLAZA, CARPIN",NUP,9353,251490
AGUSAN DEL SUR,SIBAGAT,COUNCILOR,,"BENIGIAN, BEBE",NUP,9196,250491
AGUSAN DEL SUR,TALACOGON,COUNCILOR,,"MEDRANO, LORLIE",NUP,11454,251239
AGUSAN DEL SUR,TRENTO,COUNCILOR,,"DEMEGILLO, KRIS LEIGH",NUP,16266,251972
AGUSAN DEL SUR,VERUELA,COUNCILOR,,"MONDEJAR, LALAY",NUP,12211,250007
AKLAN,ALTAVAS,COUNCILOR,,"BELARMINO, BABY NESLYN",NPC,10559,349726
AKLAN,BALETE,COUNCILOR,,"BELTRAN, CRISPINO JR",LAKAS,12124,350500
AKLAN,BANGA,COUNCILOR,,"REYNALDO, PAPA LANDO",NPC,16719,352059
AKLAN,BATAN,COUNCILOR,,"BAUTISTA, WILLIAM JR.",AKSYON,10145,351269
AKLAN,BURUANGA,COUNCILOR,,"PATRICIO, TOTE",NPC,6377,351020
AKLAN,IBAJAY,COUNCILOR,,"INOCENCIO, NEPOY",LAKAS,17745,353085
AKLAN,KALIBO,COUNCILOR,,"LUCES, KETCHIE",NPC,23032,350254
AKLAN,LEZO,COUNCILOR,,"DELA CRUZ, LUCY",LAKAS,5460,350753
AKLAN,LIBACAO,COUNCILOR,,"TEODOSIO, TIM BRYAN",PFP,8955,352571
AKLAN,MADALAG,COUNCILOR,,"TUMACA, JESSIE",NPC,7315,351538
AKLAN,MAKATO,COUNCILOR,,"TORRES, ABENCIO HB",LAKAS,10353,352835
AKLAN,MALAY,COUNCILOR,,"CAWALING-PADERES, NAT-NAT",NP,18341,351787
AKLAN,MALINAO,COUNCILOR,,"IMPERIAL, GREG",LAKAS,9239,349217
AKLAN,NABAS,COUNCILOR,,"DELA TORRE, CELON",NP,11519,353341
AKLAN,NEW WASHINGTON,COUNCILOR,,"QUIMPO, ESBOY",PFP,12648,349997
AKLAN,NUMANCIA,COUNCILOR,,"ILIGAN, PEPITO",NP,11636,349475
AKLAN,TANGALAN,COUNCILOR,,"SEÑERIS, SHOK",NP,8563,352312
ALBAY,BACACAY,COUNCILOR,,"BERMAS, HERBERT",LP,21341,128033
ALBAY,CAMALIG,COUNCILOR,,"GAMBOA, CHING",LAKAS,25720,126734
ALBAY,CITY OF LEGAZPI,COUNCILOR,,"BALTAZAR, VINCE",PDPLBN,75859,123584
ALBAY,CITY OF LIGAO,COUNCILOR,,"CHUA, SHAINE",NUP,39060,125438
ALBAY,CITY OF TABACO,COUNCILOR,,"BALINGBING, SALVE",LP,35610,123834
ALBAY,DARAGA,COUNCILOR,,"MAGALONA, BOB",LAKAS,55788,127518
ALBAY,GUINOBATAN,COUNCILOR,,"PADUA, KATE",NUP,35303,125691
ALBAY,JOVELLAR,COUNCILOR,,"NOBLEZA, GING",LAKAS,6251,127262
ALBAY,LIBON,COUNCILOR,,"AYO, TOR",LAKAS,21350,126992
ALBAY,MALILIPOT,COUNCILOR,,"AMPIG, NONG",LP,13772,124893
ALBAY,MALINAO,COUNCILOR,,"MAHINAY, REYMOND",LP,14368,124129
ALBAY,MANITO,COUNCILOR,,"DAZ, ERWIN",PFP,7969,125166
ALBAY,OAS,COUNCILOR,,"RIVERA, ALLEN",LAKAS,17344,124380
ALBAY,PIO DURAN,COUNCILOR,,"NAPA, MERS",LAKAS,16793,125955
ALBAY,POLANGUI,COUNCILOR,,"PASIA, ATTY. LOUISE",LAKAS,37653,124646
ALBAY,RAPU-RAPU,COUNCILOR,,"BATAS, SAMMY",LAKAS,15085,127769
ALBAY,SANTO DOMINGO,COUNCILOR,,"BALASTA, YABA",PFP,14555,126476
ALBAY,TIWI,COUNCILOR,,"BEATO, MATET",LP,17152,126233
ANTIQUE,ANINI-Y,COUNCILOR,,"POLLICAR, DENIESSE",NPC,4567,358135
ANTIQUE,BARBAZA,COUNCILOR,,"ANDRES, EMMANUEL",NPC,8709,354167
ANTIQUE,BELISON,COUNCILOR,,"ESCANER, WARREN",AKSYON,4785,354734
ANTIQUE,BUGASONG,COUNCILOR,,"TOGONON, BOYET",NPC,12109,358419
ANTIQUE,CALUYA,COUNCILOR,,"BALESTRAMON, ATTY. NOBEL",NUP,14888,356415
ANTIQUE,CULASI,COUNCILOR,,"RIVERA, JOJO",NPC,15436,356149
ANTIQUE,HAMTIC,COUNCILOR,,"PACIFICADOR, DOC EVA",PFP,16511,357002
ANTIQUE,LAUA-AN,COUNCILOR,,"NIETES, BING",NPC,9620,354462
ANTIQUE,LIBERTAD,COUNCILOR,,"EBON, GIO",NPC,7298,357566
ANTIQUE,PANDAN,COUNCILOR,,"TUGON, JOEMILIA",NPC,10231,357289
ANTIQUE,PATNONGON,COUNCILOR,,"BARRIENTOS, BOTYOG",IND,8754,355039
ANTIQUE,SAN JOSE,COUNCILOR,,"LOTILLA, DOK LESLEY",IND,13982,356706
ANTIQUE,SAN REMIGIO,COUNCILOR,,"GREJALDO, NONOY MICHAEL",NUP,12169,357848
ANTIQUE,SEBASTE,COUNCILOR,,"PADOJINOG, JOEY",NPC,7772,353619
ANTIQUE,SIBALOM,COUNCILOR,,"LOTILLA, BOYD JOSANT",NPC,19699,353895
ANTIQUE,TIBIAO,COUNCILOR,,"TAMAYO, NENE DEE",NPC,9003,355600
ANTIQUE,TOBIAS FORNIER,COUNCILOR,,"NIERVES, TONGTONG",NPC,9111,355319
ANTIQUE,VALDERRAMA,COUNCILOR,,"BIONGAN, JAMES",IND,8186,355863
APAYAO,CALANASAN,COUNCILOR,,"PARANDIT, FLORANTE",NP,6142,299275
APAYAO,CONNER,COUNCILOR,,"BEGTANG, JUSTIN",PFP,6503,299775
APAYAO,FLORA,COUNCILOR,,"BIGGAYAN, MANNY",NPC,6846,298764
APAYAO,KABUGAO,COUNCILOR,,"LIGWANG, ARNE PAUL",NPC,4250,299026
APAYAO,LUNA,COUNCILOR,,"CABRERA, EDMON",NPC,5204,299522
APAYAO,PUDTOL,COUNCILOR,,"BAYDAN, BENIGNO III",NPC,5417,300039
APAYAO,SANTA MARCELA,COUNCILOR,,"GUIANG, RIZZA",NPC,4531,300299
AURORA,BALER,COUNCILOR,,"NICOLAS, ATTY. NIKKI",LDP,15346,97507
AURORA,CASIGURAN,COUNCILOR,,"CAYETANO, MARA",LDP,9732,97753
AURORA,DILASAG,COUNCILOR,,"SAHAGUN, CHRISTIAN",PFP,5228,97009
AURORA,DINALUNGAN,COUNCILOR,,"SORIAO, VANGIE",LDP,4468,98523
AURORA,DINGALAN,COUNCILOR,,"CAPULONG, NHORWIN",LDP,10426,98765
AURORA,DIPACULAO,COUNCILOR,,"VIERNES, ADRIANBALOT",LAKAS,11808,98012
AURORA,MARIA AURORA,COUNCILOR,,"SILVESTRE, RHIZA",PFP,13825,98266
AURORA,SAN LUIS,COUNCILOR,,"OLIVAR, CHAMP",LDP,9055,97259
BASILAN,AKBAR,COUNCILOR,,"AMIN, HAJARA",PFP,2104,275574
BASILAN,AL-BARKA,COUNCILOR,,"ABDURAUF, THAMIE",IND,4651,274180
BASILAN,CITY OF ISABELA,COUNCILOR,,"CASAS, JAY",BUP,33537,273628
BASILAN,CITY OF LAMITAN,COUNCILOR,,"FLORES, KENNYBEL",PFP,29971,276667
BASILAN,HADJI MOHAMMAD AJUL,COUNCILOR,,"ALANO, MURUWA",PFP,9212,276382
BASILAN,HADJI MUHTAMAD,COUNCILOR,,"ABUBAKAR, GAJER",PFP,5492,276931
BASILAN,LANTAWAN,COUNCILOR,,"MUSTAMAD, JERMAD",PFP,11821,273911
BASILAN,MALUSO,COUNCILOR,,"MUKSAN, NURHAMIN",PFP,15808,275022
BASILAN,SUMISIP,COUNCILOR,,"HATAMAN, OMAR JASSER",PFP,13013,274469
BASILAN,TABUAN-LASA,COUNCILOR,,"ATARA, MARIAMCELIA",BUP,10173,274745
BASILAN,TIPO-TIPO,COUNCILOR,,"ALAUDDIN, FARIS",PFP,10941,275844
BASILAN,TUBURAN,COUNCILOR,,"KALLAHAL, JHABER",BUP,6143,276120
BASILAN,UNGKAYA PUKAN,COUNCILOR,,"ABDULCADIR, JIBS",IND,4118,275286
BATAAN,ABUCAY,COUNCILOR,,"SAMSON, ROY",PFP,15283,104881
BATAAN,BAGAC,COUNCILOR,,"CARREON, HARRY",BLKTN,11955,106613
BATAAN,CITY OF BALANGA,COUNCILOR,,"BANZON, JOVY",PFP,51444,106123
BATAAN,DINALUPIHAN,COUNCILOR,,"DAVID, GARY",NUP,44188,107106
BATAAN,HERMOSA,COUNCILOR,,"NARCISO, LOU",PDPLBN,23657,105629
BATAAN,LIMAY,COUNCILOR,,"DAVID, SARAH",PFP,29728,105122
BATAAN,MARIVELES,COUNCILOR,,"RUBIA, LITO",NUP,43841,104386
BATAAN,MORONG,COUNCILOR,,"CASTRO, OMA",NUP,11600,105874
BATAAN,ORANI,COUNCILOR,,"PASCUAL, GEN",NP,28112,106865
BATAAN,ORION,COUNCILOR,,"HERNANDEZ, DOK-JUNE",NUP,20565,105378
BATAAN,PILAR,COUNCILOR,,"ENRIQUEZ, FATI",PFP,20254,106369
BATAAN,SAMAL,COUNCILOR,,"BANTAY, MARJUN",PFP,17160,104623
BATANES,BASCO,COUNCILOR,,"REDONDO, ANKIE",LP,2545,239661
BATANES,ITBAYAT,COUNCILOR,,"GATO, GERSHOM",IND,1005,239918
BATANES,IVANA,COUNCILOR,,"FIDEL, ROMEO EMILIO",IND,525,240441
BATANES,MAHATAO,COUNCILOR,,"FABRO, NOE AVELINO",PFP,700,240702
BATANES,SABTANG,COUNCILOR,,"FIGURA, JEROLD",LP,565,240182
BATANES,UYUGAN,COUNCILOR,,"BALDOMAR, BALDO",NPC,552,239377
BATANGAS,AGONCILLO,COUNCILOR,,"MENDOZA, TAGAY SARAH",NPC,13245,78480
BATANGAS,ALITAGTAG,COUNCILOR,,"ROSALES, DOC",IND,9441,81069
BATANGAS,BALAYAN,COUNCILOR,,"SOLIS, ALFRED III",NPC,34685,81853
BATANGAS,BALETE,COUNCILOR,,"MARALIT, RONALD",NP,7936,80824
BATANGAS,BATANGAS CITY,COUNCILOR,,"AMBIDA, CLAUDETTE",NP,148368,82608
BATANGAS,BAUAN,COUNCILOR,,"DOLOR, HERO",NP,29688,79782
BATANGAS,CALATAGAN,COUNCILOR,,"BAUTISTA, REXIO",PFP,16841,80033
BATANGAS,CITY OF CALACA,COUNCILOR,,"DE JOYA, CEDRIC",NP,38934,78726
BATANGAS,CITY OF LIPA,COUNCILOR,,"LOPEZ, LYDIO",NP,147107,82095
BATANGAS,CUENCA,COUNCILOR,,"CHAVEZ, APOL",IND,10662,79508
BATANGAS,IBAAN,COUNCILOR,,"MENDOZA, JUVY",PRP,22476,77718
BATANGAS,LAUREL,COUNCILOR,,"AUSTRIA, EBING",NPC,13073,78986
BATANGAS,LEMERY,COUNCILOR,,"BENDAÑA, JV",NPC,25609,81321
BATANGAS,LIAN,COUNCILOR,,"VERGARA, OSIE",NP,18619,78216
BATANGAS,LOBO,COUNCILOR,,"DUEÑAS, A TUKLAW",LAKAS,10858,82359
BATANGAS,MABINI,COUNCILOR,,"MAGNAYE, SWEET",PFP,17014,81589
BATANGAS,MALVAR,COUNCILOR,,"TAGLE, DRA. TAGLE",NP,20955,80577
BATANGAS,MATAASNAKAHOY,COUNCILOR,,"DIMAANO, PUTO",NP,11970,79249
BATANGAS,NASUGBU,COUNCILOR,,"CHUIDIAN, AYEN",AKSYON,24804,80319
BATANGAS,PADRE GARCIA,COUNCILOR,,"VIDAL, SHINE",IND,18003,77975
BENGUET,ATOK,COUNCILOR,,"ALOS-ZARATE, MARILOU",LAKAS,4424,293517
BENGUET,BAKUN,COUNCILOR,,"LOZANO, JESUS",LAKAS,5206,291591
BENGUET,BOKOD,COUNCILOR,,"ACONG, LUIS",IND,3699,291883
BENGUET,BUGUIAS,COUNCILOR,,"YANS, MANUEL",IND,11285,293247
BENGUET,CITY OF BAGUIO,COUNCILOR,,"BILOG, EDISON",LAKAS,58218,290766
BENGUET,ITOGON,COUNCILOR,,"ALTIGA, CESAR",IND,12836,291066
BENGUET,KABAYAN,COUNCILOR,,"LAMSES, MIRCOLES",LAKAS,4613,292691
BENGUET,KAPANGAN,COUNCILOR,,"CANUTO, BRUNO",PFP,4577,291329
BENGUET,KIBUNGAN,COUNCILOR,,"TUGADE, ROGER",LAKAS,5387,289967
BENGUET,LA TRINIDAD,COUNCILOR,,"FONGWAN, NESTOR JR",IND,18682,292149
BENGUET,MANKAYAN,COUNCILOR,,"BALONG-ANGEY, JESTON",LAKAS,6861,292978
BENGUET,SABLAN,COUNCILOR,,"LAWANA, LEO",IND,3493,290513
BENGUET,TUBA,COUNCILOR,,"GABINO, EUGENE",LAKAS,12491,292422
BENGUET,TUBLAY,COUNCILOR,,"MAYOS, MARVIN",PFP,5432,290244
BILIRAN,ALMERIA,COUNCILOR,,"SALLOMAN, NOEL",IND,6697,178373
BILIRAN,BILIRAN,COUNCILOR,,"PEÑAFLOR, BIGBOSS",NP,8040,178862
BILIRAN,CABUCGAYAN,COUNCILOR,,"OLEDAN, MARIEL",LAKAS,7757,178617
BILIRAN,CAIBIRAN,COUNCILOR,,"MADERAZO, JAP-JAP",LAKAS,8838,177142
BILIRAN,CULABA,COUNCILOR,,"YU, OLIVIA",NP,5905,177636
BILIRAN,KAWAYAN,COUNCILOR,,"AMPONG, VON WENDEL",NP,7369,178112
BILIRAN,MARIPIPI,COUNCILOR,,"LLEVER, LARRY",NP,3527,177871
BILIRAN,NAVAL,COUNCILOR,,"CASTRO, BIBOY",NP,18914,177383
BOHOL,ALBURQUERQUE,COUNCILOR,,"DORIA, JESSICA",NUP,5084,31976
BOHOL,ALICIA,COUNCILOR,,"CORCIEGA, DODONG",LAKAS,8369,31703
BOHOL,ANDA,COUNCILOR,,"BERSABAL, FREDNEIL",LAKAS,6578,28086
BOHOL,ANTEQUERA,COUNCILOR,,"MERENCILLO, MAKOY",NP,6118,28612
BOHOL,BACLAYON,COUNCILOR,,"BALANGKIG, ROMY",NP,7200,32231
BOHOL,BALILIHAN,COUNCILOR,,"CHATTO, PUREZA",NUP,8213,29130
BOHOL,BATUAN,COUNCILOR,,"DAQUIS, JOEL",PFP,6007,32743
BOHOL,BILAR,COUNCILOR,,"CABUSAO, ROMIE",LAKAS,8685,30669
BOHOL,BUENAVISTA,COUNCILOR,,"TORREGOSA, PHILDON",LAKAS,13451,32494
BOHOL,CALAPE,COUNCILOR,,"YU, BILLMARK",NUP,10682,28342
BOHOL,CANDIJAY,COUNCILOR,,"MEJOS, JINGJING",IND,10572,29399
BOHOL,CARMEN,COUNCILOR,,"BIGAY, ROMEO JR",LAKAS,19996,30919
BOHOL,CATIGBIAN,COUNCILOR,,"SARAUM, ALLAN",UNA,8128,31195
BOHOL,CLARIN,COUNCILOR,,"CARCALLAS, MAAM GAY",NUP,7793,30160
BOHOL,CORELLA,COUNCILOR,,"MELLORIA, ROGER",NP,3913,29920
BOHOL,CORTES,COUNCILOR,,"YANA, FELIX",NP,7488,28884
BOHOL,DAGOHOY,COUNCILOR,,"LAGAPA, NIÑO",LDP,7967,31443
BOHOL,DANAO,COUNCILOR,,"SUTER, KAIRUS",LAKAS,8765,30419
BOHOL,DAUIS,COUNCILOR,,"OPADA, ROGELIO",PFP,17267,27829
BOHOL,DIMIAO,COUNCILOR,,"GAMAYON, JAYSON",LAKAS,6936,29651
BUKIDNON,BAUNGON,COUNCILOR,,"ALVAREZ, ADONG",IND,13644,153468
BUKIDNON,CITY OF MALAYBALAY,COUNCILOR,,"AYALA, JASON CHAD",IND,63355,154497
BUKIDNON,DAMULOG,COUNCILOR,,"BURO, MELVEN",PFP,10909,154225
BUKIDNON,DANGCAGAN,COUNCILOR,,"BAUTISTA, MARK",IND,9367,154739
BUKIDNON,DON CARLOS,COUNCILOR,,"PIZARRO, JETHRO",IND,21361,157784
BUKIDNON,IMPASUG-ONG,COUNCILOR,,"LAGAYAN, VON OMAR",IND,15238,158292
BUKIDNON,KADINGILAN,COUNCILOR,,"CANOY, JERRY",BPP,16585,156760
BUKIDNON,KALILANGAN,COUNCILOR,,"AURELIO-TULIC, JHYA",IND,14248,157513
BUKIDNON,KIBAWE,COUNCILOR,,"PITOGO, JR.",BPP,15914,155253
BUKIDNON,KITAOTAO,COUNCILOR,,"ABUCAYAN, LADOY",BPP,18300,153972
BUKIDNON,LANTAPAN,COUNCILOR,,"GALLANO, JUNGALS",BPP,22250,156018
BUKIDNON,LIBONA,COUNCILOR,,"BUTA, URSULA",BPP,16435,158029
BUKIDNON,MALITBOG,COUNCILOR,,"TUPAZ, SACHEEN",BPP,10150,154990
BUKIDNON,MANOLO FORTICH,COUNCILOR,,"DEMATA, MIGUEL",BPP,37228,156266
BUKIDNON,MARAMAG,COUNCILOR,,"LUCEÑO, JONATHAN",BPP,35082,155769
BUKIDNON,PANGANTUCAN,COUNCILOR,,"SALVACION, DARWIN",BPP,18592,157273
BUKIDNON,QUEZON,COUNCILOR,,"BAGUIO, CLYDE",BPP,39572,156511
BUKIDNON,SAN FERNANDO,COUNCILOR,,"BUTAL, RICKZ",IND,20684,153732
BUKIDNON,SUMILAO,COUNCILOR,,"BAULA, MARIE ANN",BPP,9853,157009
BUKIDNON,TALAKAG,COUNCILOR,,"SULATAN, REY ANTHONY",NPC,17667,155519
BULACAN,ANGAT,COUNCILOR,,"SANTIAGO, WOWIE",LAKAS,21122,99578
BULACAN,BALAGTAS,COUNCILOR,,"ESTRELLA, BOBBY",NUP,20429,99024
BULACAN,BOCAUE,COUNCILOR,,"MENDOZA, JAM",NUP,45135,100649
BULACAN,BULACAN,COUNCILOR,,"CRUZ, BENJO",NPC,26373,100119
BULACAN,BUSTOS,COUNCILOR,,"SANTOS, GEN MR. DIALYSIS",PFP,21379,101723
BULACAN,CALUMPIT,COUNCILOR,,"PANGAN, KONS AGNES",NUP,33596,101451
BULACAN,CITY OF BALIWAG,COUNCILOR,,"PASCUAL, JOEL",NUP,48609,103584
BULACAN,CITY OF MALOLOS,COUNCILOR,,"VITUG, JV",NUP,70435,103860
BULACAN,CITY OF MEYCAUAYAN,COUNCILOR,,"VILLARICA, KUYA LESTER",PFP,77281,101999
BULACAN,CITY OF SAN JOSE DEL MONTE,COUNCILOR,,"CABUCO, DOCTOR ROSALYN",AR,85954,100907
BULACAN,GUIGUINTO,COUNCILOR,,"JOSE, TOTO",IND,34938,101190
BULACAN,HAGONOY,COUNCILOR,,"SANTOS, PEDRO KAP",LAKAS,26637,99317
BULACAN,MARILAO,COUNCILOR,,"SILVESTRE, LUISA",PFP,58762,100398
BULACAN,NORZAGARAY,COUNCILOR,,"REYES, ABBY BAYAKAN",NUP,34684,103308
BULACAN,OBANDO,COUNCILOR,,"DE OCAMPO, DREN-DDO",IND,14916,99844
BULACAN,PANDI,COUNCILOR,,"ESTEBAN, DOC NOEL",NUP,47389,102511
BULACAN,PAOMBONG,COUNCILOR,,"MARCAIDA, NURSE RAYMOND",LAKAS,16517,103045
BULACAN,PLARIDEL,COUNCILOR,,"CUCIO, SETH CKK",AKSYON,41680,102769
BULACAN,PULILAN,COUNCILOR,,"DOMINGO, MARO",IND,29478,104119
BULACAN,SAN ILDEFONSO,COUNCILOR,,"BAUTISTA, NONG-NONG",NUP,55657,102260
CAGAYAN,ABULUG,COUNCILOR,,"GUILLERMO, KILET",PFP,11033,238100
CAGAYAN,ALCALA,COUNCILOR,,"CASTILLO, ENER",LP,9180,239129
CAGAYAN,ALLACAPAN,COUNCILOR,,"TENEDOR, PATRICIO",NP,10553,236258
CAGAYAN,AMULUNG,COUNCILOR,,"DONATO, BIGDADDY",NPC,16863,237318
CAGAYAN,APARRI,COUNCILOR,,"LABBAO, RONALD",IND,17053,236783
CAGAYAN,BAGGAO,COUNCILOR,,"ALONZO, ARNOLD",NP,20032,234658
CAGAYAN,BALLESTEROS,COUNCILOR,,"COLLADO, AKKUT",IND,9281,235986
CAGAYAN,BUGUEY,COUNCILOR,,"ALARIAO, ABRAHAM JR.",NP,11135,234920
CAGAYAN,CALAYAN,COUNCILOR,,"ESCALANTE, EDMUND",NP,6283,238607
CAGAYAN,CAMALANIUGAN,COUNCILOR,,"ROSARIO, LEEZEL",LAKAS,7959,238867
CAGAYAN,CLAVERIA,COUNCILOR,,"NIDUAZA, REYN",PFP,11414,234145
CAGAYAN,ENRILE,COUNCILOR,,"MAGBITANG, CHRISTINA",NP,8615,235204
CAGAYAN,GATTARAN,COUNCILOR,,"ANCHETA, AUDREY",LAKAS,22581,237834
CAGAYAN,GONZAGA,COUNCILOR,,"JARA, QUIRINO",NP,11436,237582
CAGAYAN,IGUIG,COUNCILOR,,"CALLUENG, CONDRING",NP,9189,237048
CAGAYAN,LAL-LO,COUNCILOR,,"INVIERNO, CRYSTAL",NP,19610,238352
CAGAYAN,LASAM,COUNCILOR,,"PAAT, RENATO JR.",PFP,14506,235470
CAGAYAN,PAMPLONA,COUNCILOR,,"SAMPAGA, RIA",LAKAS,9311,235735
CAGAYAN,PEÑABLANCA,COUNCILOR,,"TAGUINOD, TIN-TIN",NPC,16481,236508
CAGAYAN,PIAT,COUNCILOR,,"GUZMAN, DJ",NP,9023,234408
CAMARINES NORTE,BASUD,COUNCILOR,,"ABLANEDA, KUYA PABS",PFP,11269,136484
CAMARINES NORTE,CAPALONGA,COUNCILOR,,"PORTUGAL, AALIIT",NPC,13070,134349
CAMARINES NORTE,DAET,COUNCILOR,,"CARRANCEJA, IYAH",PFP,27981,136213
CAMARINES NORTE,JOSE PANGANIBAN,COUNCILOR,,"LIM, DON",IND,15863,134080
CAMARINES NORTE,LABO,COUNCILOR,,"ONING, REY KENNETH",LP,30554,133553
CAMARINES NORTE,MERCEDES,COUNCILOR,,"RIEL, SOFIA SHANE",PFP,16124,135414
CAMARINES NORTE,PARACALE,COUNCILOR,,"SALEN, JIMBOY",PFP,18256,133823
CAMARINES NORTE,SAN LORENZO RUIZ,COUNCILOR,,"FUENTEBELLA, SOCRATES",IND,3722,135677
CAMARINES NORTE,SAN VICENTE,COUNCILOR,,"PALMA, BILLYBOY",IND,4870,134613
CAMARINES NORTE,SANTA ELENA,COUNCILOR,,"ANGELES, BAMBA",PFP,12919,135132
CAMARINES NORTE,TALISAY,COUNCILOR,,"ABUYO, ATE MITCH",NPC,9292,135940
CAMARINES NORTE,VINZONS,COUNCILOR,,"HERALDO, GAYING",NPC,11043,134873
CAMARINES SUR,BAAO,COUNCILOR,,"AREVALO, ALAN",IND,22159,119721
CAMARINES SUR,BALATAN,COUNCILOR,,"BORJA, NENA",NUP,9480,119206
CAMARINES SUR,BATO,COUNCILOR,,"ZORILLA, JM",NPC,15809,119961
CAMARINES SUR,BOMBON,COUNCILOR,,"ZABALDICA, KUYA JE",IND,5466,122273
CAMARINES SUR,BUHI,COUNCILOR,,"TABALDE, LON",NUP,21492,118688
CAMARINES SUR,BULA,COUNCILOR,,"CAYA, JOEL",NUP,20304,120218
CAMARINES SUR,CABUSAO,COUNCILOR,,"AGUILAR, PINKO",NUP,6910,121755
CAMARINES SUR,CALABANGA,COUNCILOR,,"MENDOZA, WIN",NUP,22335,122547
