region,province,city,position,district,candidate_name,party,votes,raw_position
REGION XIII,AGUSAN DEL SUR,SAN LUIS,MAYOR,,"CORVERA, RONALDO",NUP,12105,MAYOR of AGUSAN DEL SUR - SAN LUIS
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,MAYOR,,"PLAZA, RICHARD",NUP,10881,MAYOR of AGUSAN DEL SUR - SANTA JOSEFA
REGION XIII,AGUSAN DEL SUR,SIBAGAT,MAYOR,,"LAMANILAO, THELMA",NUP,10201,MAYOR of AGUSAN DEL SUR - SIBAGAT
REGION XIII,AGUSAN DEL SUR,TALACOGON,MAYOR,,"MASENDO, PAULINE MARIE",NUP,12797,MAYOR of AGUSAN DEL SUR - TALACOGON
REGION XIII,AGUSAN DEL SUR,TRENTO,MAYOR,,"CALVEZ, KIT",NUP,19640,MAYOR of AGUSAN DEL SUR - TRENTO
REGION XIII,AGUSAN DEL SUR,VERUELA,MAYOR,,"MONDEJAR, LOLOY",NUP,14248,MAYOR of AGUSAN DEL SUR - VERUELA
REGION VI,AKLAN,ALTAVAS,MAYOR,,"REFOL, BULLDOG",LAKAS,7692,MAYOR of AKLAN - ALTAVAS
REGION VI,AKLAN,BALETE,MAYOR,,"CALIZO, PRESCILLA GALE",LAKAS,13857,MAYOR of AKLAN - BALETE
REGION VI,AKLAN,BANGA,MAYOR,,"REDISON, BOY",LAKAS,10696,MAYOR of AKLAN - BANGA
REGION VI,AKLAN,BATAN,MAYOR,,"RAMOS, MIKE",AKSYON,11281,MAYOR of AKLAN - BATAN
REGION VI,AKLAN,BURUANGA,MAYOR,,"DAGOHOY, NONOY ALLAN",AKSYON,6131,MAYOR of AKLAN - BURUANGA
REGION VI,AKLAN,IBAJAY,MAYOR,,"MIRAFLORES, MIGUEL",LAKAS,23952,MAYOR of AKLAN - IBAJAY
REGION VI,AKLAN,KALIBO,MAYOR,,"SUCRO, JURIS",LAKAS,31839,MAYOR of AKLAN - KALIBO
REGION VI,AKLAN,LEZO,MAYOR,,"ICASAS, MEEKIA",LAKAS,6438,MAYOR of AKLAN - LEZO
REGION VI,AKLAN,LIBACAO,MAYOR,,"NAVAROSA, VINCENT",PFP,9004,MAYOR of AKLAN - LIBACAO
REGION VI,AKLAN,MADALAG,MAYOR,,"GUBATINA, REX",LAKAS,8334,MAYOR of AKLAN - MADALAG
REGION VI,AKLAN,MAKATO,MAYOR,,"MATIONG, LANGKOY",LAKAS,10204,MAYOR of AKLAN - MAKATO
REGION VI,AKLAN,MALAY,MAYOR,,"BAUTISTA, FROLIBAR",LAKAS,18189,MAYOR of AKLAN - MALAY
REGION VI,AKLAN,MALINAO,MAYOR,,"IQUIÑA, JOSEPHINE",LAKAS,8550,MAYOR of AKLAN - MALINAO
