region,province,city,position,district,candidate_name,party,votes,raw_position
REGION X,MISAMIS ORIENTAL,TALISAYAN,COUNCILOR,LONE DIST,"MENDOZA, RAFFY",PDYN,9215,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - TALISAYAN - LONE DIST"
REGION X,MISAMIS ORIENTAL,TALISAYAN,COUNCILOR,LONE DIST,"ASUNCION, JOVELINE",LAKAS,9118,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - TALISAYAN - LONE DIST"
REGION X,MISAMIS ORIENTAL,TALISAYAN,COUNCILOR,LONE DIST,"SUMANPAN, LUIS",LAKAS,8473,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - TALISAYAN - LONE DIST"
REGION X,MISAMIS ORIENTAL,TALISAYAN,COUNCILOR,LONE DIST,"LLAGAS, ANDRES",NUP,7625,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - TALISAYAN - LONE DIST"
REGION X,MISAMIS ORIENTAL,TALISAYAN,COUNCILOR,LONE DIST,"TARAY-OMONDANG, JOSEFINA",IND,7271,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - TALISAYAN - LONE DIST"
REGION X,MISAMIS ORIENTAL,TALISAYAN,COUNCILOR,LONE DIST,"LLEMIT, RIC",LAKAS,7247,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - TALISAYAN - LONE DIST"
REGION X,MISAMIS ORIENTAL,VILLANUEVA,COUNCILOR,LONE DIST,"CABRERA, ROBERT",NUP,11544,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - VILLANUEVA - LONE DIST"
REGION X,MISAMIS ORIENTAL,VILLANUEVA,COUNCILOR,LONE DIST,"DAGASUHAN, WIN",NUP,11502,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - VILLANUEVA - LONE DIST"
REGION X,MISAMIS ORIENTAL,VILLANUEVA,COUNCILOR,LONE DIST,"ABREA, JUDE",PDYN,11200,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - VILLANUEVA - LONE DIST"
REGION X,MISAMIS ORIENTAL,VILLANUEVA,COUNCILOR,LONE DIST,"ABEJO, ONIE",LAKAS,10721,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - VILLANUEVA - LONE DIST"
REGION X,MISAMIS ORIENTAL,VILLANUEVA,COUNCILOR,LONE DIST,"MATUTES, ELVIZA",NUP,10654,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - VILLANUEVA - LONE DIST"
REGION X,MISAMIS ORIENTAL,VILLANUEVA,COUNCILOR,LONE DIST,"VALCURZA, BIENVENIDO",NUP,10467,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - VILLANUEVA - LONE DIST"
REGION X,MISAMIS ORIENTAL,VILLANUEVA,COUNCILOR,LONE DIST,"ZAYAS, KAREN",LAKAS,10331,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - VILLANUEVA - LONE DIST"
REGION X,MISAMIS ORIENTAL,VILLANUEVA,COUNCILOR,LONE DIST,"JANAO, LOU JADE",NUP,10284,"MEMBER, SANGGUNIANG BAYAN of MISAMIS ORIENTAL - VILLANUEVA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BARLIG,COUNCILOR,LONE DIST,"AWE, RODRIGO",IND,1812,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BARLIG - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BARLIG,COUNCILOR,LONE DIST,"SIDCHAYAO, EDMUNDO",NP,1680,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BARLIG - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BARLIG,COUNCILOR,LONE DIST,"SAPGUIAN, BENJIE",NP,1599,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BARLIG - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BARLIG,COUNCILOR,LONE DIST,"KUMANAB, ARTIMAS",PFP,1433,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BARLIG - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BARLIG,COUNCILOR,LONE DIST,"POLEC-EO, BOAS",NP,1424,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BARLIG - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BARLIG,COUNCILOR,LONE DIST,"AWINGAN, CONARD",PFP,1360,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BARLIG - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BARLIG,COUNCILOR,LONE DIST,"PINOS-AN, MICHAEL",PFP,1252,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BARLIG - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BARLIG,COUNCILOR,LONE DIST,"AMAWAN, ROMEO",NP,1188,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BARLIG - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BAUKO,COUNCILOR,LONE DIST,"PAKIPAC, ARCHIE",IND,10003,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BAUKO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BAUKO,COUNCILOR,LONE DIST,"LUMPISA, GIL",IND,8998,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BAUKO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BAUKO,COUNCILOR,LONE DIST,"ALIGO, PRIMO",NP,8114,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BAUKO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BAUKO,COUNCILOR,LONE DIST,"BADECAO, TONTON",IND,8067,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BAUKO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BAUKO,COUNCILOR,LONE DIST,"CODOD, JACKSON",PFP,7606,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BAUKO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BAUKO,COUNCILOR,LONE DIST,"PATNAAN, RUDY",IND,7373,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BAUKO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BAUKO,COUNCILOR,LONE DIST,"TANGGACAN, TOMAS",PFP,6827,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BAUKO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BAUKO,COUNCILOR,LONE DIST,"ANGUPA, ALVIN",IND,6641,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BAUKO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BESAO,COUNCILOR,LONE DIST,"YAPYAPAN, CHARLES",IND,2817,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BESAO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BESAO,COUNCILOR,LONE DIST,"PEKAS, ARLEIGH",PFP,2214,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BESAO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BESAO,COUNCILOR,LONE DIST,"BUKING, DAISY",IND,2178,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BESAO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BESAO,COUNCILOR,LONE DIST,"GUZMAN, BART",IND,2016,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BESAO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BESAO,COUNCILOR,LONE DIST,"MANGALLAY, MARCOS",PFP,2000,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BESAO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BESAO,COUNCILOR,LONE DIST,"BALLANG, ADELA",IND,1857,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BESAO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BESAO,COUNCILOR,LONE DIST,"LACSIGEN, JOEL",PFP,1726,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BESAO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BESAO,COUNCILOR,LONE DIST,"AMBUCAY, JOHNNY",PFP,1726,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BESAO - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BONTOC,COUNCILOR,LONE DIST,"BACALA, GLENN",IND,7422,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BONTOC - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BONTOC,COUNCILOR,LONE DIST,"OFO-OB, SEICHI",IND,6978,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BONTOC - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BONTOC,COUNCILOR,LONE DIST,"KALANGEG, JUPITER JULE",IND,6951,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BONTOC - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BONTOC,COUNCILOR,LONE DIST,"SOKOKEN, DAN EVERT",IND,6693,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BONTOC - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BONTOC,COUNCILOR,LONE DIST,"CHERWAKEN, JIMMY",IND,5942,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BONTOC - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BONTOC,COUNCILOR,LONE DIST,"PONGAD, TIMOTHY JR.",IND,5496,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BONTOC - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BONTOC,COUNCILOR,LONE DIST,"BELLANG, BRYAN BYRD",IND,5437,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BONTOC - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,BONTOC,COUNCILOR,LONE DIST,"FANG-ASAN, MILA",IND,5049,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - BONTOC - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,NATONIN,COUNCILOR,LONE DIST,"BAYOWAN, CHRISTOPHER",NP,2777,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - NATONIN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,NATONIN,COUNCILOR,LONE DIST,"LIWANEN, PERRY",NP,2610,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - NATONIN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,NATONIN,COUNCILOR,LONE DIST,"GAMONNAC, JOHN",IND,2331,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - NATONIN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,NATONIN,COUNCILOR,LONE DIST,"TIMMANGAO, BARRIS",IND,2292,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - NATONIN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,NATONIN,COUNCILOR,LONE DIST,"CANAO, SUNSHINE",IND,2223,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - NATONIN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,NATONIN,COUNCILOR,LONE DIST,"MAGRANGA, FERNANDO JR.",PFP,2200,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - NATONIN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,NATONIN,COUNCILOR,LONE DIST,"GUMATAY, JONATHAN",IND,2188,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - NATONIN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,NATONIN,COUNCILOR,LONE DIST,"BACWADANG, BONBON",IND,2165,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - NATONIN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,PARACELIS,COUNCILOR,LONE DIST,"BUCOK, ACE DAVE",IND,8917,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - PARACELIS - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,PARACELIS,COUNCILOR,LONE DIST,"BANGGOT, ROGELIO",NP,6624,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - PARACELIS - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,PARACELIS,COUNCILOR,LONE DIST,"BANGGOLAY, JOHN",IND,6287,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - PARACELIS - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,PARACELIS,COUNCILOR,LONE DIST,"OYAM, ELSIE",PFP,6093,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - PARACELIS - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,PARACELIS,COUNCILOR,LONE DIST,"CALUNNAG, CRISPIN",PFP,6056,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - PARACELIS - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,PARACELIS,COUNCILOR,LONE DIST,"GAYADON, SABAS",IND,5393,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - PARACELIS - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,PARACELIS,COUNCILOR,LONE DIST,"BAUTISTA, JOHN",IND,5259,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - PARACELIS - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,PARACELIS,COUNCILOR,LONE DIST,"TODCO, GASTON",IND,5128,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - PARACELIS - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SABANGAN,COUNCILOR,LONE DIST,"BALLAKIS, FAUSTO",PFP,3034,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SABANGAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SABANGAN,COUNCILOR,LONE DIST,"SUDICALAN, GABIN RHEY",PFP,2843,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SABANGAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SABANGAN,COUNCILOR,LONE DIST,"PUYONGAN, GABRIEL",IND,2817,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SABANGAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SABANGAN,COUNCILOR,LONE DIST,"VICTORIANO, NARCISO",IND,2815,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SABANGAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SABANGAN,COUNCILOR,LONE DIST,"BACOG, ROMAN",PFP,2768,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SABANGAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SABANGAN,COUNCILOR,LONE DIST,"PAGEDPED, ANTONIO",IND,2746,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SABANGAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SABANGAN,COUNCILOR,LONE DIST,"MALAMION, WILY",PFP,2703,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SABANGAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SABANGAN,COUNCILOR,LONE DIST,"SAPDOY, WINSTON SR",IND,2683,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SABANGAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SADANGA,COUNCILOR,LONE DIST,"DAWADEO, DONGPOP",PFP,2412,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SADANGA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SADANGA,COUNCILOR,LONE DIST,"CHAKIWAG, RUFINO",IND,2196,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SADANGA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SADANGA,COUNCILOR,LONE DIST,"FIDCHONGKAS, JAMES",IND,2174,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SADANGA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SADANGA,COUNCILOR,LONE DIST,"SARANG-EY, NAPOLEON",IND,2022,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SADANGA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SADANGA,COUNCILOR,LONE DIST,"FATTIT, ALONSO",IND,1902,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SADANGA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SADANGA,COUNCILOR,LONE DIST,"AYAO-AO, ALBERT",IND,1896,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SADANGA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SADANGA,COUNCILOR,LONE DIST,"YAKAK, RUDY",IND,1881,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SADANGA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SADANGA,COUNCILOR,LONE DIST,"AMBONI, EDUARDO JR",IND,1876,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SADANGA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SAGADA,COUNCILOR,LONE DIST,"DOMOGUEN, PAUL",IND,4140,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SAGADA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SAGADA,COUNCILOR,LONE DIST,"TOCGAN, BALA",IND,3742,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SAGADA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SAGADA,COUNCILOR,LONE DIST,"PAGADIAN, WANAY",IND,3664,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SAGADA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SAGADA,COUNCILOR,LONE DIST,"ACLAYAN, ANDRES",IND,3006,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SAGADA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SAGADA,COUNCILOR,LONE DIST,"KIBATAY, FELICITO JR.",IND,2961,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SAGADA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SAGADA,COUNCILOR,LONE DIST,"GOMGOM-O, KAPON",IND,2893,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SAGADA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SAGADA,COUNCILOR,LONE DIST,"TALTALA, ANDREA",IND,2890,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SAGADA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,SAGADA,COUNCILOR,LONE DIST,"PADAWIL, TAMBOL",IND,2885,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - SAGADA - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,TADIAN,COUNCILOR,LONE DIST,"KIDIT, JUNIPER",NP,5598,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - TADIAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,TADIAN,COUNCILOR,LONE DIST,"BALANGOY, ADOLF",IND,5171,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - TADIAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,TADIAN,COUNCILOR,LONE DIST,"BUNED, BERNARD",IND,5146,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - TADIAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,TADIAN,COUNCILOR,LONE DIST,"MALAMNAO, JOHN JR.",IND,5115,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - TADIAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,TADIAN,COUNCILOR,LONE DIST,"ATIPEN, JOEL",IND,5057,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - TADIAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,TADIAN,COUNCILOR,LONE DIST,"GULLOD, VALERIA",IND,4990,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - TADIAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,TADIAN,COUNCILOR,LONE DIST,"CAWALO, EDMUND",PFP,4958,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - TADIAN - LONE DIST"
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,TADIAN,COUNCILOR,LONE DIST,"ADEBAN, REY",PFP,4129,"MEMBER, SANGGUNIANG BAYAN of MOUNTAIN PROVINCE - TADIAN - LONE DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,COUNCILOR,FIRST DIST,"AGUILAR, ALELEE",NPC,71492,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF LAS PIÑAS - FIRST DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,COUNCILOR,SECOND DIST,"AGUILAR, LORD",NP,58631,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF LAS PIÑAS - SECOND DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,COUNCILOR,FIRST DIST,"AGUILAR, ALBIE",NP,54800,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF LAS PIÑAS - FIRST DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,COUNCILOR,SECOND DIST,"MEDINA, HENRY",NPC,54456,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF LAS PIÑAS - SECOND DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,COUNCILOR,SECOND DIST,"RAMOS, RUBEN",NP,50090,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF LAS PIÑAS - SECOND DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,COUNCILOR,FIRST DIST,"BUSTAMANTE, JESS",NP,45730,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF LAS PIÑAS - FIRST DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,COUNCILOR,FIRST DIST,"DE LEON, DOC ERIC",NP,42337,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF LAS PIÑAS - FIRST DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,COUNCILOR,FIRST DIST,"SANTOS, MAC-MAC",NPC,41287,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF LAS PIÑAS - FIRST DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF MAKATI,COUNCILOR,FIRST DIST,"HILARIO, VIRJHONG",MKTZNU,96429,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF MAKATI - FIRST DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF MAKATI,COUNCILOR,FIRST DIST,"YABUT, ALCINE",MKTZNU,85688,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF MAKATI - FIRST DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF MAKATI,COUNCILOR,FIRST DIST,"ARENAS, MARTIN",MKTZNU,73694,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF MAKATI - FIRST DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF MAKATI,COUNCILOR,FIRST DIST,"CASAL-UY, MAYETH",UNA,71820,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF MAKATI - FIRST DIST"
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF MAKATI,COUNCILOR,FIRST DIST,"ORTEGA, ARLENE",UNA,68815,"MEMBER, SANGGUNIANG PANLUNGSOD of NCR - CITY OF MAKATI - FIRST DIST"
