Last Name,First Name,Middle Name,Title,Full Name,Position,Party,Year,Province,City,Region,Sex
BALT,MANSOR,ANGOSO,,"BALT, MANSOR ANGOSO",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BAYANG,,M
DATUMOLOK,AMAN MISBAC,AMPUAN,,"DATUMOLOK, AMAN MISBAC AMPUAN",MAYOR,OMPIA,2001,LANAO DEL SUR,BINIDAYAN,,M
MALACO,AMER,IBRA,,"MALACO, AMER IBRA",VICE MAYOR,PMP,2001,LANAO DEL SUR,BINIDAYAN,,M
DADAYAN,CAMALODIN,TAMBUG,,"DADAYAN, CAMALODIN TAMBUG",MAYOR,OMPIA,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
DOMANGCAG,SAIDAMEN,MATO,,"DOMANGCAG, SAIDAMEN MATO",VICE MAYOR,INDEPENDENT,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
PANANTAON,LACS,MANDOMA,,"PANANTAON, LACS MANDOMA",COUNCILOR,PMP,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
RIGA,KIRAM,DIAMPUAN,,"RIGA, KIRAM DIAMPUAN",COUNCILOR,PMP,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
BAUTE,ANUAR,ISLAO,,"BAUTE, ANUAR ISLAO",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
DARAGANGAN,AMINODING,DISOMIMBA,,"DARAGANGAN, AMINODING DISOMIMBA",COUNCILOR,LAMMP,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
MARIANO,OMAR,MAUYAG,,"MARIANO, OMAR MAUYAG",COUNCILOR,PMP,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
MACATOON,ZAINAL,ATAR,,"MACATOON, ZAINAL ATAR",COUNCILOR,PMP,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
MAPALAO,ABDUL HAKIM,TAMBALI,,"MAPALAO, ABDUL HAKIM TAMBALI",COUNCILOR,PMP,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
TABUACAR,FAISAL MAGONDATAO,GORIGAO,,"TABUACAR, FAISAL MAGONDATAO GORIGAO",COUNCILOR,UMMAH PARTY,2001,LANAO DEL SUR,BUADIPOSO-BUNTONG,,M
MUNDER,USOPH SARIP,BAUNTO,,"MUNDER, USOPH SARIP BAUNTO",MAYOR,LAMMP,2001,LANAO DEL SUR,BUBONG,,M
MANUA,ELIAS,MACARAYA,,"MANUA, ELIAS MACARAYA",VICE MAYOR,PMP,2001,LANAO DEL SUR,BUBONG,,M
DIDA- AGUN,JIMMY TOROGANAN,MACABANGKIT,,"DIDA- AGUN, JIMMY TOROGANAN MACABANGKIT",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BUBONG,,M
ALONTO,ALCOSAIN,GONSALES,,"ALONTO, ALCOSAIN GONSALES",COUNCILOR,PMP,2001,LANAO DEL SUR,BUBONG,,M
DIDA- AGUN,H. AMEN,TOMINAMAN,,"DIDA- AGUN, H. AMEN TOMINAMAN",COUNCILOR,PMP,2001,LANAO DEL SUR,BUBONG,,M
MARADANG,AIDA RAKI-,IN,,"MARADANG, AIDA RAKI- IN",COUNCILOR,PMP,2001,LANAO DEL SUR,BUBONG,,F
MACABANGON,ISMAEL,CARIM,,"MACABANGON, ISMAEL CARIM",COUNCILOR,PMP,2001,LANAO DEL SUR,BUBONG,,M
CALI,ALI ANANG-,GO,,"CALI, ALI ANANG- GO",COUNCILOR,PMP,2001,LANAO DEL SUR,BUBONG,,M
SARIP,CABSARAN,DIRAGIDUN,,"SARIP, CABSARAN DIRAGIDUN",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BUBONG,,M
RAKI-IN,SAMSODEN,MACAPUNDAG,,"RAKI-IN, SAMSODEN MACAPUNDAG",COUNCILOR,PMP,2001,LANAO DEL SUR,BUBONG,,M
MANABILANG,HEDJARAH LYDIA,ECLAR,,"MANABILANG, HEDJARAH LYDIA ECLAR",MAYOR,LAMMP,2001,LANAO DEL SUR,BUMBARAN,,F
SULTAN,FATIMA,AMPUAN,,"SULTAN, FATIMA AMPUAN",VICE MAYOR,LAMMP,2001,LANAO DEL SUR,BUMBARAN,,F
PENDATUN,OMBRA,MACABAMBON,,"PENDATUN, OMBRA MACABAMBON",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,BUMBARAN,,M
MANABILANG,HUSSIEN BIN OMAR,ENCADO,,"MANABILANG, HUSSIEN BIN OMAR ENCADO",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,BUMBARAN,,M
ABUBACAR,TAHER,MARAMBONG,,"ABUBACAR, TAHER MARAMBONG",COUNCILOR,LAMMP,2001,LANAO DEL SUR,BUMBARAN,,M
RADIA,ROHAINA,TALI,,"RADIA, ROHAINA TALI",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BUMBARAN,,F
BARRA,MOSOR,LIMPAO,,"BARRA, MOSOR LIMPAO",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,BUMBARAN,,M
PADO,IBRAHIM MACA-,ALIN,,"PADO, IBRAHIM MACA- ALIN",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,BUMBARAN,,M
DALIG,FAHAD,UMPAR,,"DALIG, FAHAD UMPAR",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,BUMBARAN,,M
GURO,TANANDATO,ABUBACAT,,"GURO, TANANDATO ABUBACAT",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,BUMBARAN,,M
PANSAR,DIMNATANG,LABAY,,"PANSAR, DIMNATANG LABAY",MAYOR,INDEPENDENT,2001,LANAO DEL SUR,BUTIG,,M
KIRAM,MONABANTOG,DIAMODEN,,"KIRAM, MONABANTOG DIAMODEN",VICE MAYOR,INDEPENDENT,2001,LANAO DEL SUR,BUTIG,,M
BENITO,MACAPADO SR.,MAROHOM,,"BENITO, MACAPADO SR. MAROHOM",MAYOR,PDP-LABAN,2001,LANAO DEL SUR,CALANOGAS,,M
BENITO,FAISAL AMEROL,ALI,,"BENITO, FAISAL AMEROL ALI",VICE MAYOR,INDEPENDENT,2001,LANAO DEL SUR,CALANOGAS,,M
ATAMPAR,CASANGOAN,MACAPODI,,"ATAMPAR, CASANGOAN MACAPODI",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,CALANOGAS,,M
BALINDONG,BUBONG,MACARAMPAT,,"BALINDONG, BUBONG MACARAMPAT",COUNCILOR,PDP-LABAN,2001,LANAO DEL SUR,CALANOGAS,,M
ABDUKCADER,OSOP,MAROHOM,,"ABDUKCADER, OSOP MAROHOM",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,CALANOGAS,,M
TAMBIDAN,JALILA,DIMAAMPAO,,"TAMBIDAN, JALILA DIMAAMPAO",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,CALANOGAS,,F
AMPUAN,ABDULNASSER,AMEROL,,"AMPUAN, ABDULNASSER AMEROL",COUNCILOR,PDP-LABAN,2001,LANAO DEL SUR,CALANOGAS,,M
GALMAN,MAHLAIL,BENITO,,"GALMAN, MAHLAIL BENITO",COUNCILOR,PDP-LABAN,2001,LANAO DEL SUR,CALANOGAS,,M
ABDUL,CAIRODEN,ATAMPAR,,"ABDUL, CAIRODEN ATAMPAR",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,CALANOGAS,,M
AMPASO,BIKIL,AMPUAN,,"AMPASO, BIKIL AMPUAN",COUNCILOR,PMP,2001,LANAO DEL SUR,CALANOGAS,,M
BATUA,SIRAD,ALISACAR,,"BATUA, SIRAD ALISACAR",MAYOR,INDEPENDENT,2001,LANAO DEL SUR,DITSAAN-RAMAIN,,M
MACARAMPAT,JOHARI,MAI,,"MACARAMPAT, JOHARI MAI",VICE MAYOR,INDEPENDENT,2001,LANAO DEL SUR,DITSAAN-RAMAIN,,M
ANGAD,CALIL,RASAMALA,,"ANGAD, CALIL RASAMALA",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,DITSAAN-RAMAIN,,M
