year,region,province,city,position,candidate_name,party,votes
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MACABANDO, JAMIL",OP,1541
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","DIMARO, ALIKHAN",IND,1085
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","AMPUAN, ABDULLAH",IND,919
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","ISMAEL, ALIMAR",IND,548
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MALIWANAG, SALIPADA",IND,538
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","TOCALO, OSOP",IND,289
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","BALINDONG, AMIR-ODEN",LP,19382
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MACACUA, ADBULHARRIS",LP,16149
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MACAPODI, TAHA",LP,13851
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MINDALANO, MACAPANDI",LP,12799
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","ABDULLATIF, ABUALI",OP,10822
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","USMAN, SAMIM",IND,10047
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","PAPANDAYAN, SOLIMAN",IND,9551
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MAROHOM, ABDULKARIM",IND,8647
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MAONGCO, ANSARY",IND,7995
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","AMER, NORLAILA",IND,4597
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","LAO, ARDESHIR",IND,4252
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MINDALANO, ALAUYA",PDP,4164
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","BINNORTOMINORAY, MORSALIM",IND,3507
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MIMBALAWAG, ALEMDARIDAY",PDP,2682
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","CALI, ALIM",IND,2667
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","ABUTASNIMA, USMAN",IND,1981
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","AMEROL, ABDULGAFOR",IND,1935
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","ABDULMANAN, SHAIFON",IND,1448
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","GURO, ANSAR",NPC,700
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","CAMAMA, MIPANTAO",IND,656
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","DITUCALAN, SOMILALAO",IND,524
2013,armm,lanao-del-sur,bacolod-kalawi,MAYOR,"DIPATUAN, ABDULMOHAIMEN",LP,351
2013,armm,lanao-del-sur,bacolod-kalawi,MAYOR,"DIPATUAN, SARTATA",OP,5
2013,armm,lanao-del-sur,bacolod-kalawi,VICE-MAYOR,"DIPATUAN, DIARANGAN",LP,352
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","ADAPUN, OMBRA",LP,320
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","TAROSAN, HABIB",IND,290
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","DAROYODUN, ODING",LP,285
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","LAGUINDAB, ANOWAR",LP,268
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","ALOYOD, ACASA",IND,260
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","AMANODDIN, TAMIM",LP,258
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","ABDULMANAN, SIHABUDDEN",LP,244
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","DUMARPA, SAINOLA",LP,206
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","PANDI, OMAR",IND,91
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","DIMANGADAP, ABDULHALIM",IND,56
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","ALAUYA, MONERA",IND,54
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","ABDUL RAHMAN, HAMIM",OP,41
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","MABANDUS, OTHOG",IND,12
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","DIANALAN, SALAHUDDIN",IND,11
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","MAURAK, JAMIL",IND,7
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","ABDULJALIL, ACMALI",IND,6
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","PAGAYOCAN, ABDULLAH",IND,4
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","AMBOLOTO, JOHANIE",IND,3
2013,armm,lanao-del-sur,bacolod-kalawi,"MEMBER, SANGGUNIANG BAYAN","MABANDUS, RAMIL",IND,2
