region,province,city,district,position,candidate_name,party,votes
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"ESCASIÑAS, VIRGILIO JR. (LP)",LP,6374
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"MUSICO, LILIBETH (NP)",NP,5577
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"CUASITO, SAL (NP)",NP,52004
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"MARAGAÑAS, LORITO (NP)",NP,51432
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"GAMBE, AQUINO (LP)",LP,50974
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"CALO, BABETTE (LP)",LP,50731
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"CANE, SANTI (NUP)",NUP,75089
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"BASCUG, ALFEL (NUP)",NUP,74439
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"BASTARECHE, TOTO (NUP)",NUP,65658
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"CORVERA, BEBOT (NUP)",NUP,63494
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"MELLANA, EDWARD (NUP)",NUP,86582
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"DEL ROSARIO, KLENG (NUP)",NUP,79378
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"ELORDE, GILBERT (NUP)",NUP,75622
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"ANANORIA, AGUSANI (NUP)",NUP,74039
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"NERON, AMPOD (LP)",LP,62835
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"DELA CRUZ, SOVIET (NP)",NP,61499
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"TIROL, LILLIAN (LP)",LP,51808
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"SODUSTA, IMMANUEL (NPC)",NPC,49711
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"SUCGANG, HARRY (UNA)",UNA,49479
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"GELITO, ANDOY (LP)",LP,63417
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"MIRAFLORES, MIGUEL (LP)",LP,63105
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"TEJADA, JAY (LP)",LP,57605
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"FLORES, ESEL (LP)",LP,55102
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"SANTAMARIA, NELSON (LP)",LP,53341
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"BRAGAIS, REY (LP)",LP,74900
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"ZIGA, VICTOR JR. (UNA)",UNA,60369
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"BELEN, JOB (LP)",LP,56966
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"IMPERIAL, RB (LP)",LP,111837
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"ROSAL, ROLLY (LP)",LP,106040
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"ANDES, RALPH (LP)",LP,98632
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"SALCEDA, JESAP (LP)",LP,111559
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"ARANDIA, DANTE (UNA)",UNA,64042
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"IMPERIAL, PEM (IND)",IND,62843
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"MOLINA, RONY (LP)",LP,55402
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"PICCIO, VINCENT III (NUP)",NUP,50316
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"CORVERA, NANDING (NUP)",NUP,39445
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"LOTILLA, BINGBING (NUP)",NUP,34697
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"FORNIER, MA ORCHID (NUP)",NUP,30113
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"SUMANDE, PIO (IND)",IND,29544
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"DIMAMAY, ROSIE (LP)",LP,52326
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"ELIO, EGIDIO (NUP)",NUP,48824
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"ALOJIPAN, KAP NONONG (UNA)",UNA,41197
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"SANTILLAN, ERROL (NUP)",NUP,37329
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"JUANITEZ, JURIS (LP)",LP,29958
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"FRANGUE, HECTOR (NUP)",NUP,26604
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,FIRST,PROVINCIAL BOARD MEMBER,"BETAT, ALISON (LP)",LP,14079
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,FIRST,PROVINCIAL BOARD MEMBER,"ROMERO, SHIRLEY (LP)",LP,10023
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,FIRST,PROVINCIAL BOARD MEMBER,"TALIMBATOG, TON TON (LP)",LP,9533
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,FIRST,PROVINCIAL BOARD MEMBER,"MANGALAO, TOLENTINO (UNA)",UNA,9222
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,SECOND,PROVINCIAL BOARD MEMBER,"BALLESTEROS, MYLA (NPC)",NPC,12109
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,SECOND,PROVINCIAL BOARD MEMBER,"GALLEON, EMILIANO (UNA)",UNA,11314
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,SECOND,PROVINCIAL BOARD MEMBER,"JULIAN, MCLEEN (LP)",LP,10844
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,SECOND,PROVINCIAL BOARD MEMBER,"MOLINA, ELMER (IND)",IND,10644
REGION III,AURORA,,FIRST,PROVINCIAL BOARD MEMBER,"NOVERAS, CHRISTIAN (NPC)",NPC,36216
REGION III,AURORA,,FIRST,PROVINCIAL BOARD MEMBER,"BAUTISTA, BUTCH (LDP)",LDP,27190
REGION III,AURORA,,FIRST,PROVINCIAL BOARD MEMBER,"PIMENTEL, CESAR (LDP)",LDP,24331
REGION III,AURORA,,FIRST,PROVINCIAL BOARD MEMBER,"PALMERO, SANTY (NP)",NP,24294
REGION III,AURORA,,SECOND,PROVINCIAL BOARD MEMBER,"ARAÑA, JENNIFER (LDP)",LDP,14136
REGION III,AURORA,,SECOND,PROVINCIAL BOARD MEMBER,"ALIPIO, RUBEN JR. (LDP)",LDP,12354
REGION III,AURORA,,SECOND,PROVINCIAL BOARD MEMBER,"ROXAS, LORDAN (NPC)",NPC,12257
REGION III,AURORA,,SECOND,PROVINCIAL BOARD MEMBER,"TOLENTINO, REYNANTE (LDP)",LDP,11271
BARMM,BASILAN,,FIRST,PROVINCIAL BOARD MEMBER,"ISMAEL, AINA (IND)",IND,26659
BARMM,BASILAN,,FIRST,PROVINCIAL BOARD MEMBER,"FERNANDEZ, ALFIYA (IND)",IND,23535
BARMM,BASILAN,,FIRST,PROVINCIAL BOARD MEMBER,"FERNANDEZ, OTOH (IND)",IND,22756
BARMM,BASILAN,,FIRST,PROVINCIAL BOARD MEMBER,"MUARIP, MOUMAR (IND)",IND,21529
BARMM,BASILAN,,SECOND,PROVINCIAL BOARD MEMBER,"ASARUL, NASSER (IND)",IND,60402
BARMM,BASILAN,,SECOND,PROVINCIAL BOARD MEMBER,"ARAMIL, MONSOY (IND)",IND,51443
BARMM,BASILAN,,SECOND,PROVINCIAL BOARD MEMBER,"SALI, PAI (IND)",IND,50325
BARMM,BASILAN,,SECOND,PROVINCIAL BOARD MEMBER,"HATAMAN, MARWAN (IND)",IND,47598
REGION III,BATAAN,,FIRST,PROVINCIAL BOARD MEMBER,"SERRANO, BENJIE (NP)",NP,104699
REGION III,BATAAN,,FIRST,PROVINCIAL BOARD MEMBER,"GAZA, ARIS (NUP)",BALIKATAN,101183
REGION III,BATAAN,,FIRST,PROVINCIAL BOARD MEMBER,"DOMINGUEZ, TERI ONOR (NUP)",BALIKATAN,98951
REGION III,BATAAN,,SECOND,PROVINCIAL BOARD MEMBER,"BANZON, JOVY (NUP)",BALIKATAN,136073
