region,province,city,district,position,candidate_name,party,votes
REGION I,ILOCOS SUR,NAGBUKEL,LONE,COUNCILOR,"MONTANTE, RUBEN (LP)",LP,1833
REGION I,ILOCOS SUR,NAGBUKEL,LONE,COUNCILOR,"CALPITO, DELFIN (LP)",LP,1781
REGION I,ILOCOS SUR,NAGBUKEL,LONE,COUNCILOR,"LOZANO, DOMENG (LP)",LP,1750
REGION I,ILOCOS SUR,NAGBUKEL,LONE,COUNCILOR,"PASCUA, CARLO (LP)",LP,1689
REGION I,ILOCOS SUR,NARVACAN,LONE,COUNCILOR,"TEJADA, JOSEPH (IND)",IND,12601
REGION I,ILOCOS SUR,NARVACAN,LONE,COUNCILOR,"ZARAGOZA, AVEL VERNEY (LP)",LP,12152
REGION I,ILOCOS SUR,NARVACAN,LONE,COUNCILOR,"CABREROS, PILONG (LP)",LP,11389
REGION I,ILOCOS SUR,NARVACAN,LONE,COUNCILOR,"SINGSON, CHAVIT (NP)",NP,10175
REGION I,ILOCOS SUR,NARVACAN,LONE,COUNCILOR,"CACHOLA, RAFAEL (LP)",LP,9775
REGION I,ILOCOS SUR,NARVACAN,LONE,COUNCILOR,"CABANILLA, ROSALINDA (LP)",LP,9143
REGION I,ILOCOS SUR,NARVACAN,LONE,COUNCILOR,"DELA CUADRA, BENEDIX BX (LP)",LP,8766
REGION I,ILOCOS SUR,NARVACAN,LONE,COUNCILOR,"POTENCION, KAYSIE (LP)",LP,8637
REGION I,ILOCOS SUR,QUIRINO ANGKAKI,LONE,COUNCILOR,"EWAGEN, ALVIN (KBL)",KBL,1816
REGION I,ILOCOS SUR,QUIRINO ANGKAKI,LONE,COUNCILOR,"MARQUEZ, REY ALBERTO (KBL)",KBL,1759
REGION I,ILOCOS SUR,QUIRINO ANGKAKI,LONE,COUNCILOR,"GOMINTONG, ELVIN (LP)",LP,1739
REGION I,ILOCOS SUR,QUIRINO ANGKAKI,LONE,COUNCILOR,"HABON, FLORO (LP)",LP,1735
REGION I,ILOCOS SUR,QUIRINO ANGKAKI,LONE,COUNCILOR,"CAGUAY, AURELIO SR. (LP)",LP,1705
REGION I,ILOCOS SUR,QUIRINO ANGKAKI,LONE,COUNCILOR,"ACIONG, JAIME JR. (KBL)",KBL,1703
REGION I,ILOCOS SUR,QUIRINO ANGKAKI,LONE,COUNCILOR,"WACQUISAN, RENE SR. (KBL)",KBL,1683
REGION I,ILOCOS SUR,QUIRINO ANGKAKI,LONE,COUNCILOR,"PANDUYOS, ELMER (KBL)",KBL,1662
REGION I,ILOCOS SUR,SALCEDO BAUGEN,LONE,COUNCILOR,"LAZAN, MARIO (LP)",LP,4298
REGION I,ILOCOS SUR,SALCEDO BAUGEN,LONE,COUNCILOR,"DURO, ELY SERGIO (LP)",LP,4230
REGION I,ILOCOS SUR,SALCEDO BAUGEN,LONE,COUNCILOR,"FIGUEROA, ERLINDA (LP)",LP,4197
REGION I,ILOCOS SUR,SALCEDO BAUGEN,LONE,COUNCILOR,"BUQUING, MICHAEL SR. (LP)",LP,4077
REGION I,ILOCOS SUR,SALCEDO BAUGEN,LONE,COUNCILOR,"BITENG, ROGELIO (LP)",LP,4031
REGION I,ILOCOS SUR,SALCEDO BAUGEN,LONE,COUNCILOR,"TUDAYAN, RAFAEL JR. (LP)",LP,3908
REGION I,ILOCOS SUR,SALCEDO BAUGEN,LONE,COUNCILOR,"GIRONELLA, DOMINGO (LP)",LP,3901
REGION I,ILOCOS SUR,SALCEDO BAUGEN,LONE,COUNCILOR,"WAGAYEN, AUGUSTUS (LP)",LP,3893
REGION I,ILOCOS SUR,SAN EMILIO,LONE,COUNCILOR,"BRAGADO, MYRNA (LP)",LP,3030
REGION I,ILOCOS SUR,SAN EMILIO,LONE,COUNCILOR,"MAYEGAYEG, JOHNSON (LP)",LP,2735
REGION I,ILOCOS SUR,SAN EMILIO,LONE,COUNCILOR,"PATI, ABRAHAM (LP)",LP,2687
REGION I,ILOCOS SUR,SAN EMILIO,LONE,COUNCILOR,"SELECCION, LORENZO (LP)",LP,2685
REGION I,ILOCOS SUR,SAN EMILIO,LONE,COUNCILOR,"DARIO, MELQUIADES (LP)",LP,2535
REGION I,ILOCOS SUR,SAN EMILIO,LONE,COUNCILOR,"LAOAT, PERLITO (LP)",LP,2440
REGION I,ILOCOS SUR,SAN EMILIO,LONE,COUNCILOR,"BITENG, ROSALINA (LP)",LP,2290
REGION I,ILOCOS SUR,SAN EMILIO,LONE,COUNCILOR,"LAPSUT, TOLENTINO (LP)",LP,2215
REGION I,ILOCOS SUR,SAN ESTEBAN,LONE,COUNCILOR,"EUROPA, ARLENE (IND)",IND,3186
REGION I,ILOCOS SUR,SAN ESTEBAN,LONE,COUNCILOR,"ARREOLA, VENICE (IND)",IND,3163
REGION I,ILOCOS SUR,SAN ESTEBAN,LONE,COUNCILOR,"SANTOS, ELIZABETH (LP)",LP,3044
REGION I,ILOCOS SUR,SAN ESTEBAN,LONE,COUNCILOR,"ELECCION, JOSE (LP)",LP,2277
REGION I,ILOCOS SUR,SAN ESTEBAN,LONE,COUNCILOR,"ELECCION, HENRY (LP)",LP,2174
REGION I,ILOCOS SUR,SAN ESTEBAN,LONE,COUNCILOR,"EALA, ARNOLD (LP)",LP,2166
REGION I,ILOCOS SUR,SAN ESTEBAN,LONE,COUNCILOR,"ELAYDO, ELFREN JR. (LP)",LP,2150
REGION I,ILOCOS SUR,SAN ESTEBAN,LONE,COUNCILOR,"TABILA, GODOFREDO (LP)",LP,1973
REGION I,ILOCOS SUR,SAN ILDEFONSO,LONE,COUNCILOR,"CASTILLO, ROSIE (NP)",NP,2271
REGION I,ILOCOS SUR,SAN ILDEFONSO,LONE,COUNCILOR,"DELA CRUZ, JUN (NP)",NP,1984
REGION I,ILOCOS SUR,SAN ILDEFONSO,LONE,COUNCILOR,"DELA CRUZ, MELY (NP)",NP,1965
REGION I,ILOCOS SUR,SAN ILDEFONSO,LONE,COUNCILOR,"RIEGO, ELMERSON JAY-R (NP)",NP,1897
REGION I,ILOCOS SUR,SAN ILDEFONSO,LONE,COUNCILOR,"PECHO, RENATO (IND)",IND,1699
REGION I,ILOCOS SUR,SAN ILDEFONSO,LONE,COUNCILOR,"PALOMARES, ROMEO (NP)",NP,1682
REGION I,ILOCOS SUR,SAN ILDEFONSO,LONE,COUNCILOR,"PADUA, MINDA (NP)",NP,1663
REGION I,ILOCOS SUR,SAN ILDEFONSO,LONE,COUNCILOR,"PAMO, JUNE (IND)",IND,1460
REGION I,ILOCOS SUR,SAN JUAN LAPOG,LONE,COUNCILOR,"VALLE, RIZALINA (NP)",NP,10606
REGION I,ILOCOS SUR,SAN JUAN LAPOG,LONE,COUNCILOR,"OCHOSA, ELLEN VERONICA (NP)",NP,9218
REGION I,ILOCOS SUR,SAN JUAN LAPOG,LONE,COUNCILOR,"BASILIO, CYNTHIA CHERY (NP)",NP,7394
REGION I,ILOCOS SUR,SAN JUAN LAPOG,LONE,COUNCILOR,"VALLE, MARIAN (NP)",NP,7244
REGION I,ILOCOS SUR,SAN JUAN LAPOG,LONE,COUNCILOR,"OLI, DOMINGO (IND)",IND,6858
REGION I,ILOCOS SUR,SAN JUAN LAPOG,LONE,COUNCILOR,"VILLA, FELIPE JR. (NP)",NP,6420
REGION I,ILOCOS SUR,SAN JUAN LAPOG,LONE,COUNCILOR,"LUCERO, GEM (IND)",IND,6396
REGION I,ILOCOS SUR,SAN JUAN LAPOG,LONE,COUNCILOR,"RAMOS, CHARITO (NP)",NP,6307
REGION I,ILOCOS SUR,SAN VICENTE,LONE,COUNCILOR,"REYES, ROSAMANTE (NP)",NP,4765
REGION I,ILOCOS SUR,SAN VICENTE,LONE,COUNCILOR,"ROJO, CONRADO (NP)",NP,4625
REGION I,ILOCOS SUR,SAN VICENTE,LONE,COUNCILOR,"PALADO, DIONISIO (NP)",NP,4175
REGION I,ILOCOS SUR,SAN VICENTE,LONE,COUNCILOR,"ROLA, JUN (NP)",NP,3873
REGION I,ILOCOS SUR,SAN VICENTE,LONE,COUNCILOR,"RAGIL, JUANITA (NP)",NP,3615
REGION I,ILOCOS SUR,SAN VICENTE,LONE,COUNCILOR,"RIBERAL, REYNALDO (NP)",NP,3406
REGION I,ILOCOS SUR,SAN VICENTE,LONE,COUNCILOR,"ROJAS, RENATO (NP)",NP,3357
REGION I,ILOCOS SUR,SAN VICENTE,LONE,COUNCILOR,"RUBIA, DALMACIO (NP)",NP,3132
REGION I,ILOCOS SUR,SANTA,LONE,COUNCILOR,"FORMOSO, BOBOT (LP)",LP,5511
REGION I,ILOCOS SUR,SANTA,LONE,COUNCILOR,"RITUA, DOMINGO (LP)",LP,4422
REGION I,ILOCOS SUR,SANTA,LONE,COUNCILOR,"CORPUZ, PEDRO (LP)",LP,4300
REGION I,ILOCOS SUR,SANTA,LONE,COUNCILOR,"BELLO, BELLA (LP)",LP,4216
REGION I,ILOCOS SUR,SANTA,LONE,COUNCILOR,"BURGOS, MARINO (LP)",LP,3918
REGION I,ILOCOS SUR,SANTA,LONE,COUNCILOR,"BELLO, ROQUE NORMAN JR. (LP)",LP,3757
REGION I,ILOCOS SUR,SANTA,LONE,COUNCILOR,"DE PERALTA, JOVENTINO (LP)",LP,3591
REGION I,ILOCOS SUR,SANTA,LONE,COUNCILOR,"QUERAL, REYNOLD (IND)",IND,3277
REGION I,ILOCOS SUR,SANTA CATALINA,LONE,COUNCILOR,"OANDASAN, RESTITUTO (IND)",IND,4510
REGION I,ILOCOS SUR,SANTA CATALINA,LONE,COUNCILOR,"REALIN, NIÑO (NP)",NP,4273
REGION I,ILOCOS SUR,SANTA CATALINA,LONE,COUNCILOR,"RAPANUT, BITOY (AKSYON)",AKSYON,4044
REGION I,ILOCOS SUR,SANTA CATALINA,LONE,COUNCILOR,"RAGASA, ANGELIE VICTORIA (NP)",NP,3898
REGION I,ILOCOS SUR,SANTA CATALINA,LONE,COUNCILOR,"RAGASA, NONOY (AKSYON)",AKSYON,3761
REGION I,ILOCOS SUR,SANTA CATALINA,LONE,COUNCILOR,"RACADIO, ROWENA (NP)",NP,3732
REGION I,ILOCOS SUR,SANTA CATALINA,LONE,COUNCILOR,"RAFANAN, VIC JR. (NP)",NP,3577
REGION I,ILOCOS SUR,SANTA CATALINA,LONE,COUNCILOR,"RABUYA, ANTONIO (AKSYON)",AKSYON,3452
REGION I,ILOCOS SUR,SANTA CRUZ,LONE,COUNCILOR,"JAVILLONAR, CESAR (LP)",LP,13184
REGION I,ILOCOS SUR,SANTA CRUZ,LONE,COUNCILOR,"RAGUCOS, MALOU (LP)",LP,12253
REGION I,ILOCOS SUR,SANTA CRUZ,LONE,COUNCILOR,"ROMANO, OSCAR (LP)",LP,11412
REGION I,ILOCOS SUR,SANTA CRUZ,LONE,COUNCILOR,"QUILOP, RENE (LP)",LP,10769
REGION I,ILOCOS SUR,SANTA CRUZ,LONE,COUNCILOR,"JAVONILLO, NANDING (LP)",LP,10620
REGION I,ILOCOS SUR,SANTA CRUZ,LONE,COUNCILOR,"PING-AY, WALDIMAR (LP)",LP,10402
REGION I,ILOCOS SUR,SANTA CRUZ,LONE,COUNCILOR,"GABUAT, NELIA (LP)",LP,10174
REGION I,ILOCOS SUR,SANTA CRUZ,LONE,COUNCILOR,"CORTEZ, CESAR (IND)",IND,9977
REGION I,ILOCOS SUR,SANTA LUCIA,LONE,COUNCILOR,"TOQUERO, EDUARDO (IND)",IND,7431
REGION I,ILOCOS SUR,SANTA LUCIA,LONE,COUNCILOR,"ROSAL, CORAZON (LP)",LP,7127
REGION I,ILOCOS SUR,SANTA LUCIA,LONE,COUNCILOR,"SALGADO, SIMEON (LP)",LP,6561
REGION I,ILOCOS SUR,SANTA LUCIA,LONE,COUNCILOR,"JOVEN, RONALD (IND)",IND,6238
REGION I,ILOCOS SUR,SANTA LUCIA,LONE,COUNCILOR,"VALDEZ, RODOLFO (LP)",LP,6084
REGION I,ILOCOS SUR,SANTA LUCIA,LONE,COUNCILOR,"BRAVO, ANNELINE (LP)",LP,5726
REGION I,ILOCOS SUR,SANTA LUCIA,LONE,COUNCILOR,"ANGALA, TEDDY (LP)",LP,5725
REGION I,ILOCOS SUR,SANTA LUCIA,LONE,COUNCILOR,"COSTALES, REX (LP)",LP,5588
REGION I,ILOCOS SUR,SANTA MARIA,LONE,COUNCILOR,"REYES, JOHN JOHN (IND)",IND,9900
REGION I,ILOCOS SUR,SANTA MARIA,LONE,COUNCILOR,"DIRECTO, ALEJANDRO (LP)",LP,9305
REGION I,ILOCOS SUR,SANTA MARIA,LONE,COUNCILOR,"CABATU, REMA PAZVIA (IND)",IND,9248
REGION I,ILOCOS SUR,SANTA MARIA,LONE,COUNCILOR,"GAPUSAN, KRISTINE (IND)",IND,9243
REGION I,ILOCOS SUR,SANTA MARIA,LONE,COUNCILOR,"CABANTAC, ISIDRO (LP)",LP,9232
REGION I,ILOCOS SUR,SANTA MARIA,LONE,COUNCILOR,"VILLANUEVA, ADRIANO (LP)",LP,8151
REGION I,ILOCOS SUR,SANTA MARIA,LONE,COUNCILOR,"DE VERA, MARIO (LP)",LP,8020
REGION I,ILOCOS SUR,SANTA MARIA,LONE,COUNCILOR,"CALIBUSO, FEDERICO (LP)",LP,7114
REGION I,ILOCOS SUR,SANTIAGO,LONE,COUNCILOR,"MIRANDA, ADRIEN LAWRENCE (LP)",LP,6183
REGION I,ILOCOS SUR,SANTIAGO,LONE,COUNCILOR,"CARRANZA, EDUARDO (LP)",LP,5078
REGION I,ILOCOS SUR,SANTIAGO,LONE,COUNCILOR,"PALACIO, ERNESTO (LP)",LP,4654
REGION I,ILOCOS SUR,SANTIAGO,LONE,COUNCILOR,"CORPUZ, PETER (NPC)",NPC,4486
REGION I,ILOCOS SUR,SANTIAGO,LONE,COUNCILOR,"MIRANDA, JOSELITO JR. (NPC)",NPC,4485
REGION I,ILOCOS SUR,SANTIAGO,LONE,COUNCILOR,"PASION, VIRGILIO (LP)",LP,4439
REGION I,ILOCOS SUR,SANTIAGO,LONE,COUNCILOR,"TRINIDAD, JONATHAN (LP)",LP,4154
REGION I,ILOCOS SUR,SANTIAGO,LONE,COUNCILOR,"TENGSICO, LILIA (LP)",LP,3846
REGION I,ILOCOS SUR,SANTO DOMINGO,LONE,COUNCILOR,"TADENA, BRYAN DEXTER (NP)",NP,8483
REGION I,ILOCOS SUR,SANTO DOMINGO,LONE,COUNCILOR,"DE VERA, JANE (NP)",NP,8324
REGION I,ILOCOS SUR,SANTO DOMINGO,LONE,COUNCILOR,"FIGUERAS, MICHAEL EMILI (NP)",NP,7790
REGION I,ILOCOS SUR,SANTO DOMINGO,LONE,COUNCILOR,"TADEJA, EUGENE (NP)",NP,7549
REGION I,ILOCOS SUR,SANTO DOMINGO,LONE,COUNCILOR,"TOBIAS, JESUS II (NP)",NP,7528
REGION I,ILOCOS SUR,SANTO DOMINGO,LONE,COUNCILOR,"INGAN, GODOFREDO (NP)",NP,7445
REGION I,ILOCOS SUR,SANTO DOMINGO,LONE,COUNCILOR,"ROSARIO, ZALDY (NP)",NP,7438
REGION I,ILOCOS SUR,SANTO DOMINGO,LONE,COUNCILOR,"TACBAS, MABBET (IND)",IND,6953
REGION I,ILOCOS SUR,SIGAY,LONE,COUNCILOR,"RAMOLETE, FANCIE (IND)",IND,867
REGION I,ILOCOS SUR,SIGAY,LONE,COUNCILOR,"LANG-AY, DIONISIO JR. (LP)",LP,850
REGION I,ILOCOS SUR,SIGAY,LONE,COUNCILOR,"DONGLOS, JEZEBEL (LP)",LP,814
REGION I,ILOCOS SUR,SIGAY,LONE,COUNCILOR,"DILLA, SIONIE (IND)",IND,792
REGION I,ILOCOS SUR,SIGAY,LONE,COUNCILOR,"WANDAS, BAL (IND)",IND,755
REGION I,ILOCOS SUR,SIGAY,LONE,COUNCILOR,"TAYOCNOG, SAULO (LP)",LP,739
REGION I,ILOCOS SUR,SIGAY,LONE,COUNCILOR,"CALENG, MARDOQUIO (LP)",LP,718
REGION I,ILOCOS SUR,SIGAY,LONE,COUNCILOR,"SUEN, BENJAMIN (LP)",LP,708
REGION I,ILOCOS SUR,SINAIT,LONE,COUNCILOR,"BARCELONA, JESPHER (NP)",NP,7495
REGION I,ILOCOS SUR,SINAIT,LONE,COUNCILOR,"INES, JOSELITO (UNA)",UNA,6629
REGION I,ILOCOS SUR,SINAIT,LONE,COUNCILOR,"GUZMAN, BLAYNE (NPC)",NPC,6224
REGION I,ILOCOS SUR,SINAIT,LONE,COUNCILOR,"YERE-BATTAD, EHLAFE (UNA)",UNA,5239
REGION I,ILOCOS SUR,SINAIT,LONE,COUNCILOR,"REMOLACIO, MARLOWRIE (NPC)",NPC,4789
REGION I,ILOCOS SUR,SINAIT,LONE,COUNCILOR,"IBAÑEZ, WILHELMINA (UNA)",UNA,4374
REGION I,ILOCOS SUR,SINAIT,LONE,COUNCILOR,"INES, MARLON (UNA)",UNA,4229
REGION I,ILOCOS SUR,SINAIT,LONE,COUNCILOR,"YORO, JOJO (NPC)",NPC,4198
REGION I,ILOCOS SUR,SUGPON,LONE,COUNCILOR,"BAGUIOEN, JONATHAN (NP)",NP,1098
REGION I,ILOCOS SUR,SUGPON,LONE,COUNCILOR,"YAGYAGEN, MILAGROS (LP)",LP,1048
REGION I,ILOCOS SUR,SUGPON,LONE,COUNCILOR,"ABAAG, JOSE (LP)",LP,1020
REGION I,ILOCOS SUR,SUGPON,LONE,COUNCILOR,"SAGAYO, NESTOR (LP)",LP,925
REGION I,ILOCOS SUR,SUGPON,LONE,COUNCILOR,"CAYAT, MATEO (LP)",LP,890
REGION I,ILOCOS SUR,SUGPON,LONE,COUNCILOR,"YUBOS, TEOFILO (NP)",NP,888
REGION I,ILOCOS SUR,SUGPON,LONE,COUNCILOR,"SIBAYAN, JOSEPH (LP)",LP,881
REGION I,ILOCOS SUR,SUGPON,LONE,COUNCILOR,"ABELLERA, FERDINAND (IND)",IND,800
REGION I,ILOCOS SUR,SUYO,LONE,COUNCILOR,"ALMAZAN, THOMAS (LP)",LP,3469
REGION I,ILOCOS SUR,SUYO,LONE,COUNCILOR,"NGANGAC, RENATO (LP)",LP,3035
REGION I,ILOCOS SUR,SUYO,LONE,COUNCILOR,"GALUGA, RODERICK (LP)",LP,2823
REGION I,ILOCOS SUR,SUYO,LONE,COUNCILOR,"ARCINAS, NESTOR (LP)",LP,2704
REGION I,ILOCOS SUR,SUYO,LONE,COUNCILOR,"AVISA, PABLITO (LP)",LP,2665
REGION I,ILOCOS SUR,SUYO,LONE,COUNCILOR,"BISTOYONG, PHILIP (IND)",IND,2579
REGION I,ILOCOS SUR,SUYO,LONE,COUNCILOR,"CUPIDO, GEORGE (IND)",IND,2425
REGION I,ILOCOS SUR,SUYO,LONE,COUNCILOR,"LAZAGA, RAMONITO (LP)",LP,2376
REGION I,ILOCOS SUR,TAGUDIN,LONE,COUNCILOR,"ANDAYA, JONATHAN (NP)",NP,8150
REGION I,ILOCOS SUR,TAGUDIN,LONE,COUNCILOR,"CHUA, ARTURO SR. (PDPLBN)",PDP LABAN,6969
REGION I,ILOCOS SUR,TAGUDIN,LONE,COUNCILOR,"VILLANUEVA, CORAZON (LP)",LP,5809
REGION I,ILOCOS SUR,TAGUDIN,LONE,COUNCILOR,"ACOSTA, ROBERTO (PDPLBN)",PDP LABAN,5679
REGION I,ILOCOS SUR,TAGUDIN,LONE,COUNCILOR,"LABADOR, JOSEPH (NP)",NP,4927
REGION I,ILOCOS SUR,TAGUDIN,LONE,COUNCILOR,"MINA, ROSALINDA (NP)",NP,4916
REGION I,ILOCOS SUR,TAGUDIN,LONE,COUNCILOR,"FERNANDEZ, EUGENE (PDPLBN)",PDP LABAN,4737
REGION I,ILOCOS SUR,TAGUDIN,LONE,COUNCILOR,"LORENA, ALICIA (LP)",LP,4173
REGION I,ILOCOS SUR,VIGAN,LONE,COUNCILOR,"MEDINA-FARIÑAS, JANINA (NP)",NP,17908
REGION I,ILOCOS SUR,VIGAN,LONE,COUNCILOR,"AGDAMAG-LIM, KISSES (NP)",NP,17103
REGION I,ILOCOS SUR,VIGAN,LONE,COUNCILOR,"SINGSON, JP (NP)",NP,16599
REGION I,ILOCOS SUR,VIGAN,LONE,COUNCILOR,"ORIO, JOY BENETTE (NP)",NP,16251
REGION I,ILOCOS SUR,VIGAN,LONE,COUNCILOR,"RANCHES, THIRD (LP)",LP,14244
REGION I,ILOCOS SUR,VIGAN,LONE,COUNCILOR,"ARCE, RAMIL (NP)",NP,13358
REGION I,ILOCOS SUR,VIGAN,LONE,COUNCILOR,"FIGUERRES, TEN TEN (NP)",NP,13318
REGION I,ILOCOS SUR,VIGAN,LONE,COUNCILOR,"BENZON, CONSTANTE (NP)",NP,13062
REGION VI,ILOILO,AJUY,LONE,COUNCILOR,"ESPINOSA, CAROL-V (LP)",LP,14172
REGION VI,ILOILO,AJUY,LONE,COUNCILOR,"ZERRUDO, HEARTY (LP)",LP,12377
REGION VI,ILOILO,AJUY,LONE,COUNCILOR,"ROJAS, NOYNOY (NPC)",NPC,11958
REGION VI,ILOILO,AJUY,LONE,COUNCILOR,"ROJAS, TOTO JESSE (NPC)",NPC,11270
REGION VI,ILOILO,AJUY,LONE,COUNCILOR,"BABAR, DR BABAR (NPC)",NPC,10746
REGION VI,ILOILO,AJUY,LONE,COUNCILOR,"BICLAR, BOK ABNER (NPC)",NPC,9722
REGION VI,ILOILO,AJUY,LONE,COUNCILOR,"ASUMBRA, POTIT (LP)",LP,9478
REGION VI,ILOILO,AJUY,LONE,COUNCILOR,"TUPAS, PATI (LP)",LP,9345
REGION VI,ILOILO,ALIMODIAN,LONE,COUNCILOR,"ALOBIN, POL (LP)",LP,8497
REGION VI,ILOILO,ALIMODIAN,LONE,COUNCILOR,"AMARILLO, JOE (LP)",LP,6743
REGION VI,ILOILO,ALIMODIAN,LONE,COUNCILOR,"ALMACEN, JOB (UNA)",UNA,6692
REGION VI,ILOILO,ALIMODIAN,LONE,COUNCILOR,"ALTUBAR, LARRIETTE (UNA)",UNA,6689
REGION VI,ILOILO,ALIMODIAN,LONE,COUNCILOR,"ALFECHE, IAN KENNETH (UNA)",UNA,6609
REGION VI,ILOILO,ALIMODIAN,LONE,COUNCILOR,"ADRICULA, EMMANUEL (LP)",LP,6351
REGION VI,ILOILO,ALIMODIAN,LONE,COUNCILOR,"TAMAYO, ERIC (LP)",LP,6036
REGION VI,ILOILO,ALIMODIAN,LONE,COUNCILOR,"BUENAVIDES, CHA (LP)",LP,6015
REGION VI,ILOILO,ANILAO,LONE,COUNCILOR,"ARANETA, REMEDIOS (AI)",AI,7473
REGION VI,ILOILO,ANILAO,LONE,COUNCILOR,"MANA-AY, KAREN (AI)",AI,7272
REGION VI,ILOILO,ANILAO,LONE,COUNCILOR,"JORQUE, EDUARDO JR (AI)",AI,6740
REGION VI,ILOILO,ANILAO,LONE,COUNCILOR,"PENIERO, ANDRO (AI)",AI,6227
REGION VI,ILOILO,ANILAO,LONE,COUNCILOR,"BUYCO, NONOY ITON (UGYON)",UGYON,6143
REGION VI,ILOILO,ANILAO,LONE,COUNCILOR,"CABANGAL, NONOY EMEE (UGYON)",UGYON,6083
REGION VI,ILOILO,ANILAO,LONE,COUNCILOR,"ARAGONES, ANDERSON (AI)",AI,5794
REGION VI,ILOILO,ANILAO,LONE,COUNCILOR,"BAYONA, RORY (AI)",AI,5637
REGION VI,ILOILO,BADIANGAN,LONE,COUNCILOR,"NOBLEZA, MIGUEL (LP)",LP,8056
REGION VI,ILOILO,BADIANGAN,LONE,COUNCILOR,"ABOGADA, GERARDO (LP)",LP,7709
REGION VI,ILOILO,BADIANGAN,LONE,COUNCILOR,"MAMON, IAN KIM (LP)",LP,7456
REGION VI,ILOILO,BADIANGAN,LONE,COUNCILOR,"HUPANDA, MAYO (LP)",LP,6741
REGION VI,ILOILO,BADIANGAN,LONE,COUNCILOR,"COLACION, ANGELO (LP)",LP,6280
REGION VI,ILOILO,BADIANGAN,LONE,COUNCILOR,"RENDAJE, ADRIAN (LP)",LP,6012
REGION VI,ILOILO,BADIANGAN,LONE,COUNCILOR,"OREMO, RUSSELL (LP)",LP,5694
REGION VI,ILOILO,BADIANGAN,LONE,COUNCILOR,"ARMADA, JUDITH (IND)",IND,5258
REGION VI,ILOILO,BALASAN,LONE,COUNCILOR,"GANZON, SUSAN (LP)",LP,9950
REGION VI,ILOILO,BALASAN,LONE,COUNCILOR,"BEDRO, INDAY SUSAN (LP)",LP,9173
REGION VI,ILOILO,BALASAN,LONE,COUNCILOR,"ALARCON, REYNALDO (LP)",LP,8884
REGION VI,ILOILO,BALASAN,LONE,COUNCILOR,"MORENO, INDAY CELIA (LP)",LP,8060
REGION VI,ILOILO,BALASAN,LONE,COUNCILOR,"AGRASADA, DON ARNEL (NPC)",NPC,8046
REGION VI,ILOILO,BALASAN,LONE,COUNCILOR,"ABDALLAH, JET (NPC)",NPC,7635
REGION VI,ILOILO,BALASAN,LONE,COUNCILOR,"BALTAZAR, TONGTONG (LP)",LP,7341
REGION VI,ILOILO,BALASAN,LONE,COUNCILOR,"DUREMDES, SIPIL (LP)",LP,6782
REGION VI,ILOILO,BANATE,LONE,COUNCILOR,"BAGSIT, NOEL (AI)",AI,8242
REGION VI,ILOILO,BANATE,LONE,COUNCILOR,"CABANGAL, TOTONG CEZAR (LP)",LP,7963
REGION VI,ILOILO,BANATE,LONE,COUNCILOR,"CABANGAL, NORLENE (LP)",LP,7932
REGION VI,ILOILO,BANATE,LONE,COUNCILOR,"BACOS, VIMVIM (AI)",AI,7076
REGION VI,ILOILO,BANATE,LONE,COUNCILOR,"IRAN, JUN (AI)",AI,7003
REGION VI,ILOILO,BANATE,LONE,COUNCILOR,"VILLARUEL, RYAN (LP)",LP,6837
REGION VI,ILOILO,BANATE,LONE,COUNCILOR,"CABANGAL, NONOY ALEX (IND)",IND,6491
REGION VI,ILOILO,BANATE,LONE,COUNCILOR,"BABE, ARNULFO (LP)",LP,6484
REGION VI,ILOILO,BAROTAC NUEVO,LONE,COUNCILOR,"GEMORA, NONEL (AI)",AI,15704
REGION VI,ILOILO,BAROTAC NUEVO,LONE,COUNCILOR,"BARRIDO, CITONG (AI)",AI,14896
REGION VI,ILOILO,BAROTAC NUEVO,LONE,COUNCILOR,"OSO, DOMINIC PAUL (UGYON)",UGYON,14561
REGION VI,ILOILO,BAROTAC NUEVO,LONE,COUNCILOR,"BAYLOSIS, NESTOR (AI)",AI,14334
REGION VI,ILOILO,BAROTAC NUEVO,LONE,COUNCILOR,"DIMAFILES, JESS (AI)",AI,14246
REGION VI,ILOILO,BAROTAC NUEVO,LONE,COUNCILOR,"BETITA, ISIDRO JR (AI)",AI,13860
REGION VI,ILOILO,BAROTAC NUEVO,LONE,COUNCILOR,"BRETAÑA, SIMON (AI)",AI,13817
REGION VI,ILOILO,BAROTAC NUEVO,LONE,COUNCILOR,"BRILLANTES, ERNESTO JR (AI)",AI,13029
REGION VI,ILOILO,BAROTAC VIEJO,LONE,COUNCILOR,"BALAIROS, TONTON (NPC)",NPC,7184
REGION VI,ILOILO,BAROTAC VIEJO,LONE,COUNCILOR,"JARANILLA, OTAY (LP)",LP,6631
REGION VI,ILOILO,BAROTAC VIEJO,LONE,COUNCILOR,"BARRETTO, NOEME FELIPE (LP)",LP,6335
REGION VI,ILOILO,BAROTAC VIEJO,LONE,COUNCILOR,"ANGELES, INDAY BRENDA (NPC)",NPC,6220
REGION VI,ILOILO,BAROTAC VIEJO,LONE,COUNCILOR,"BUENAVISTA, VIVIAN (LP)",LP,6008
REGION VI,ILOILO,BAROTAC VIEJO,LONE,COUNCILOR,"SABADISTO, DETING (NPC)",NPC,5629
