Year,Position,Last,Given,Sex
2004,COUNCILOR,BENEMERITO,REX,M
2004,MAYOR,CLEMENTE,BONIFACIO,M
2004,VICE MAYOR,CABACUNGAN,JULIO,M
2004,COUNCILOR,SADUMIANO,ROBERT,M
2004,COUNCILOR,LLAGUNO,CESAR,M
2004,COUNCILOR,RAGUAL,JULIUS,M
2004,COUNCILOR,DOMINGO,ARACELI,F
2004,COUNCILOR,CACAYORIN,JOSE,M
2004,COUNCILOR,ABROJENA,EDWIN,M
2004,COUNCILOR,GALLARDO,ROGELIO,M
2004,COUNCILOR,POBRE,GALEN,M
2004,MAYOR,AGUINALDO,OSCAR,M
2004,VICE MAYOR,VALDEZ,RODOLFO,M
2004,COUNCILOR,DELA CRUZ,ELSIE,F
2004,COUNCILOR,LAGAZO,JESUS,M
2004,COUNCILOR,GERVACIO,CLEMENTE,M
2004,COUNCILOR,ARQUILLO,MICAELA,F
2004,COUNCILOR,AGUINALDO,FELIX,M
2004,COUNCILOR,ACIO,MELCHOR,M
2004,COUNCILOR,AGUINALDO,NESTOR,M
2004,COUNCILOR,REGIDOR,ALFREDO,M
2004,MAYOR,SALAZAR,AUGUSTUS,M
2004,VICE MAYOR,CLEMENTE,MODESTO,M
2004,COUNCILOR,BAYAG,ONOFRE,M
2004,COUNCILOR,ASIS,GUILLERMO,M
2004,COUNCILOR,FORONDA,MARIANITO,M
2004,COUNCILOR,GUILLEN,MELCHOR,M
2004,COUNCILOR,SILVANO,JUAN,M
2004,COUNCILOR,VENTURA,RUBEN,M
2004,COUNCILOR,TOMAS,EFREN,M
2004,COUNCILOR,AQUINO,GENEROSO,M
2004,MAYOR,PAGDILAO,ANUNCIACION,F
2004,VICE MAYOR,GALANG,PEDRO,M
2004,COUNCILOR,LABASAN,ROMMEL,M
2004,COUNCILOR,PASCUA,NOLASCO,M
2004,COUNCILOR,TUGAS,REYDA,F
2004,COUNCILOR,PASCUA,MARIBEL,F
2004,COUNCILOR,ZAFARALLA,QUIRICO,M
2004,COUNCILOR,CABIE,REIZEL,F
2004,COUNCILOR,BAGARINO,AMOR,F
2004,COUNCILOR,PASCUA,FERDINAND,M
2004,MAYOR,VALDEZ,ALFREDO,M
2004,VICE MAYOR,DADIZ,NORBERTO,M
2004,COUNCILOR,AMBROCIO,DOMINGO,M
2004,COUNCILOR,BONOAN,ED,M
2004,COUNCILOR,YORO,ANTONIO,M
2004,COUNCILOR,BADUA,LINDA,F
2004,COUNCILOR,CARAANG,LUCIANO,M
2004,COUNCILOR,PUMARAS,JESSIE,M
2004,COUNCILOR,ILAGA,ANGELO,M
2004,COUNCILOR,ASUNCION,ASTOR,M
2004,MAYOR,ABAD,CORAZON,F
2004,VICE MAYOR,AGOY,ESTEBAN,M
2004,COUNCILOR,GANAL,RONY,M
2004,COUNCILOR,EDROZO,ALIPIO,M
2004,COUNCILOR,TALAMAYAN,JOSE,M
2004,COUNCILOR,AGOTO,VIRGILIO,M
2004,COUNCILOR,OSTREA,SAMY,M
2004,COUNCILOR,FLORES,AMANDA,F
2004,COUNCILOR,ALMAZAN,ROBERT,M
2004,COUNCILOR,GAÑO,FERDINAND,M
2004,MAYOR,DE LARA,JOSEPH,M
2004,VICE MAYOR,DE LARA,EDISON,M
2004,COUNCILOR,DE LARA,JONATHAN,M
2004,COUNCILOR,AGULAY,ISMAEL,M
2004,COUNCILOR,VICENTE,GERVACIO,M
2004,COUNCILOR,FACTORA,ADLAI,M
2004,COUNCILOR,SACRO,BOB,M
2004,COUNCILOR,ASUNCION,BARTOLOME,M
2004,COUNCILOR,BALANTAC,ZAMUEL,M
2004,COUNCILOR,RESURRECCION,ELISEO,M
2004,MAYOR,MABANAG,ELEUTERIO,M
2004,VICE MAYOR,FORONDA,JOSE,M
2004,COUNCILOR,FORONDA,MAGNO,M
2004,COUNCILOR,EDROZO,WYRLO,M
2004,COUNCILOR,LEAÑO,ALMOND,M
2004,COUNCILOR,VIERNES,RIZAL,M
2004,COUNCILOR,REYES,NESTOR,M
2004,COUNCILOR,AGBAYANI,CHARLES,M
2004,COUNCILOR,VIERNES,ESPERIDION,M
2004,COUNCILOR,AGBAYANI,LILIA,F
2004,MAYOR,BANGAOIL,SAMSON,M
2004,VICE MAYOR,BISTOYONG,ONOFRE,M
2004,COUNCILOR,SUMABAT,MAR,M
2004,COUNCILOR,TIGLAO,BONIFACIO,M
2004,COUNCILOR,LIYO,CESARIO,M
2004,COUNCILOR,BANGAOIL,ALEJO,M
2004,COUNCILOR,VALENCIA,CARIDAD,F
2004,COUNCILOR,JAVIER,NOEMI,F
2004,COUNCILOR,LUOANG,GODOFREDO,M
2004,COUNCILOR,LIGAYO,GAUDENCIO,M
2004,MAYOR,SORIO,ELENA,F
2004,VICE MAYOR,GARCIA,MIGUEL,M
2004,COUNCILOR,DACANAY,RUBY,F
2004,COUNCILOR,VICENTE,ROLANDO,M
2004,COUNCILOR,BANASAN,RODOLFO,M
2004,COUNCILOR,GAMBOA,ANDRES,M
2004,COUNCILOR,MARTINEZ,FILEMON,M
2004,COUNCILOR,GAMENG,LORETO,M
2004,COUNCILOR,BOLINGET,COSME,M
2004,COUNCILOR,TUDLONG,BERNARDO,M
2004,MAYOR,PARILLA,CHINITA,F
2004,VICE MAYOR,PEREDO,FLORO,M
2004,COUNCILOR,REBOROSO,ROGER,M
2004,COUNCILOR,RAMOS,JASMINE,F
2004,COUNCILOR,MERCURIO,EDILBERTO,M
2004,COUNCILOR,CALDERON,PATERNIA,F
2004,COUNCILOR,BUNDOC,CRISELDA,F
2004,COUNCILOR,LEONES,GEORGE,M
2004,COUNCILOR,QUINTINITA,IRENEO,M
2004,COUNCILOR,LUCERO,PAUL,M
2004,MAYOR,ESCOBAR,NATHANIEL,M
2004,VICE MAYOR,BALBALAN,RIOLITA,F
2004,COUNCILOR,BELLO,ARNOLDO,M
2004,COUNCILOR,REINANTE,LORENA,F
2004,COUNCILOR,BELEN,CONSTANTE,M
2004,COUNCILOR,ESCOBAR,BERNARDO,M
2004,COUNCILOR,ESCOBAR,DELFIN,M
2004,COUNCILOR,DALIT,MA.,F
2004,COUNCILOR,DEGRACIA,ROGER,M
2004,COUNCILOR,REINANTE,FRANCISCO,M
2004,MAYOR,SUERO,DIOCAESAR,M
2004,VICE MAYOR,MORALES,REX,M
2004,COUNCILOR,PANO,LUCIAMAR,F
2004,COUNCILOR,VALLEJO,JOSEFINA,F
2004,COUNCILOR,SANTELLA,DODGIE,M
2004,COUNCILOR,SERNA,JESSIE,M
2004,COUNCILOR,SIVILA,NOEL,M
2004,COUNCILOR,SANDI,RODRIGO,M
2004,COUNCILOR,SOLLER,CESAR,M
2004,COUNCILOR,SOLLER,THADDEUS,M
2004,MAYOR,SINGSON,GRACE,F
2004,VICE MAYOR,ITCHON,JOHNNY,M
2004,COUNCILOR,SINGSON,ALFONSO,M
2004,COUNCILOR,TUDAYAN,ROBERT,M
2004,COUNCILOR,BONA,FRANCISCO,M
2004,COUNCILOR,ABRERO,EDILBERTO,M
2004,COUNCILOR,DIASEN,OSIAS,M
2004,COUNCILOR,ASTRERO,MAXIMO,M
2004,COUNCILOR,ACANCE,JULIO,M
2004,COUNCILOR,GOCHO,ERLINDA,F
2004,COUNCILOR,VILLALOBOS,ROSARIO,F
2004,COUNCILOR,LLANES,CEASAR,M
2004,MAYOR,TUGADE,MARIO,M
2004,VICE MAYOR,PADAONG,GEMMA,F
2004,COUNCILOR,BELARMINO,PEDRO,M
2004,COUNCILOR,RABENA,CLEMENTE,M
2004,COUNCILOR,QUODALA,REY,M
2004,COUNCILOR,ATENDIDO,LEONARDO,M
2004,COUNCILOR,BALALLO,ROMEL,M
2004,COUNCILOR,CARASI,ANTONIO,M
2004,COUNCILOR,AQUINO,TERENCIO,M
2004,COUNCILOR,QUERUBIN,ERNESTO,M
2004,MAYOR,AMILAO,RUFINO,M
2004,VICE MAYOR,HARNOIS,ROBERT,M
2004,COUNCILOR,GABURNO,SALVADOR,M
2004,COUNCILOR,PE,ROSARIO,F
2004,COUNCILOR,GABURNO,RODOLFO,M
2004,COUNCILOR,PUSAYEN,ALMA,F
2004,COUNCILOR,MENDOZA,CONSTANTE,M
2004,COUNCILOR,CUDIAMAT,RUBEN,M
2004,COUNCILOR,EDAL,JOHNSON,M
2004,COUNCILOR,SEBIO,LUIS,M
2004,MAYOR,BALINGSAT,JUANITO,M
2004,VICE MAYOR,DAGUASI,ALBERTO,M
2004,COUNCILOR,JOSE,ELMO,M
2004,COUNCILOR,TRINIDAD,KULAPU,M
2004,COUNCILOR,TUNGBABAN,MANUEL,M
2004,COUNCILOR,GALANGCO,MOISES,M
2004,COUNCILOR,AMMOGAO,ANICETO,M
2004,COUNCILOR,BALICDANG,HENRY,M
2004,COUNCILOR,BUGARIN,FLORENCE,M
2004,COUNCILOR,DUGAT,RUBEN,M
2004,MAYOR,CIRIACO,GILBERT,M
2004,VICE MAYOR,GALLANDO,HENRY,M
2004,COUNCILOR,CIRIACO,JACOB,M
2004,COUNCILOR,POSTIN,GREGORIO,M
2004,COUNCILOR,BALILING,FRANCISCO,M
2004,COUNCILOR,BURGOS,DOMINGO,M
2004,COUNCILOR,LOCKEY,LUIS,M
2004,COUNCILOR,AMBROCIO,JULIUS,M
2004,COUNCILOR,BISOY,HILARIO,M
2004,COUNCILOR,DADPAAS,ARNOLD,M
2004,MAYOR,SAGAY,JESUS,M
2004,VICE MAYOR,TOMAS,SHERWIN,M
2004,COUNCILOR,JOVEN,PRUDENCIO,M
2004,COUNCILOR,MELITON,SATURNINO,M
2004,COUNCILOR,AROLA,ANTONIO,M
2004,COUNCILOR,COLLO,ROSE,F
2004,COUNCILOR,MIGUEL,RUBEN,M
2004,COUNCILOR,TAMAYO,CONSTANTE,M
2004,COUNCILOR,LAIS,OLGA,F
2004,COUNCILOR,SALUPEN,FRANCISCO,M
2004,MAYOR,FAVIS,ARLYN,F
2004,VICE MAYOR,FAVIS,ALFONSO,M
2004,COUNCILOR,TOMANENG,EMMANUEL,M
2004,COUNCILOR,ARQUERO,FREDDY,M
2004,COUNCILOR,UGALE,RANDY,M
2004,COUNCILOR,ISAGUIRRE,ERWIN,M
2004,COUNCILOR,MARAÑON,CARLOS,M
2004,COUNCILOR,UDARBE,AQUILES,M
