year,region,province,city,position,area,candidate_name,party,votes
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - FIRST PROVDIST,"SALAHUDDIN, ABE",NPC,5519
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - FIRST PROVDIST,"JUL, FAIZAL",NPC,4827
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - FIRST PROVDIST,"HASSAN, MAHAIL",PDP,4002
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - SECOND PROVDIST,"ARBISON, ALNUR",LP,13673
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - SECOND PROVDIST,"ADAM, ALGANARHAM",LP,11591
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - SECOND PROVDIST,"PULAHONG, AYOB",LP,11558
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - SECOND PROVDIST,"DAUD, NASSER JR.",LP,10570
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - SECOND PROVDIST,"AMMAD, ONNIH",UNA,9351
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - SECOND PROVDIST,"BURAHAN, ABDURADZMEZER",LP,7437
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - SECOND PROVDIST,"SAHIDULLA, ALNACQUER",PDP,7306
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - SECOND PROVDIST,"ALIMUDDIN, NURHANINA",PDP,7198
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - SECOND PROVDIST,"BADAH, BHALA",NPC,6790
2010,armm,sulu,hadji-panglima-tahil,MAYOR,SULU - HADJI PANGLIMA TAHIL (MARUNGGAS),"BURAHAN, ABRAHAM",LP,2549
